traffic_type,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ue_id,timestamp,cellid,in_sync,idx
1,0.004757914,0.62962963,0.100701625,0.017938548,0.1,0.11589,0,0.375,0.981481481,0.953488372,0.573529412,0.757575758,0.587878788,1.0,0.279069767,0.290697674,0.176470588,0.996607327,0,0,31023
0,0.006538897,0.333333333,0.0,0.016834004,0.45,0.0,0,0.55,0.981481481,1.0,1.0,0.818181818,0.496969697,1.0,0.465116279,0.697674419,0.058823529,0.05511513,0,0,26154
1,0.000798612,0.666666667,0.000102036,0.001893608,0.2,0.15983,0,0.35,0.981481481,0.976744186,0.823529412,0.727272727,0.233333333,1.0,0.441860465,0.534883721,0.235294118,0.997929663,0,0,1483
0,0.052486109,0.333333333,0.0,0.11744456,0.45,0.0,0,0.75,0.981481481,1.0,1.0,0.909090909,0.496969697,1.0,0.418604651,0.360465116,0.0,0.053547368,0,0,27789
0,0.015616438,0.888888889,0.029204572,0.41651462,0.45,0.026539,0,0.675,0.981481481,1.0,0.926470588,0.909090909,0.445454545,1.0,0.372093023,0.406976744,0.0,0.073602012,0,0,23831
0,0.005922861,0.814814815,0.095351292,0.202121813,0.65,0.099937,0,0.65,0.962962963,1.0,1.0,0.96969697,0.333333333,1.0,0.418604651,0.430232558,0.0,0.075610895,0,0,4028
0,0.133703914,0.777777778,0.1036435,0.156980091,0.65,0.043494,0,0.6,0.962962963,1.0,0.985294118,0.909090909,0.324242424,1.0,0.441860465,0.488372093,0.058823529,0.999774558,0,0,43011
0,0.003518933,0.407407407,4.04e-06,0.008528234,0.5,0.00184,0,0.425,0.981481481,0.953488372,0.558823529,0.757575758,0.424242424,1.0,0.441860465,0.395348837,0.0,0.114088272,0,0,27081
1,0.004782852,0.777777778,0.089486738,0.003265649,0.75,0.089885,0,0.45,0.962962963,1.0,0.897058824,0.636363636,0.306060606,1.0,0.488372093,0.476744186,0.0,0.92587585,0,0,24823
0,0.001798776,0.37037037,0.0,0.012189923,0.55,0.0,0,0.575,0.962962963,1.0,1.0,0.96969697,0.278787879,1.0,0.441860465,0.476744186,0.176470588,0.074894148,0,0,22297
0,0.009300766,0.62962963,0.03262632,0.016733295,0.2,0.095479,0,0.7,1.0,0.953488372,0.602941176,0.636363636,0.354545455,1.0,0.534883721,0.441860465,0.823529412,0.999872682,0,0,43916
1,0.004288167,0.222222222,0.883433265,0.010759967,0.3,1.0,0,0.475,0.962962963,0.976744186,0.735294118,0.545454545,0.918181818,0.0,0.093023256,0.011627907,0.0,0.996848022,0,0,40823
0,0.052474218,0.333333333,0.0,0.117399042,0.45,0.0,0,0.775,0.981481481,1.0,1.0,0.96969697,0.496969697,1.0,0.395348837,0.360465116,0.0,0.053522018,0,0,27673
0,0.001634483,0.333333333,0.0,0.011058688,0.45,0.0,0,0.375,0.981481481,1.0,1.0,0.939393939,0.445454545,1.0,0.279069767,0.372093023,0.176470588,0.074858745,0,0,22135
1,0.003141326,0.592592593,0.124422511,0.01143918,0.6,0.101488,0,0.55,0.962962963,0.953488372,0.588235294,0.484848485,0.354545455,1.0,0.465116279,0.418604651,0.176470588,0.996591593,0,0,30879
1,0.001286815,0.333333333,1.01e-06,0.028747859,0.45,0.022499,0,0.425,0.981481481,0.976744186,0.632352941,0.606060606,0.16969697,1.0,0.441860465,0.581395349,0.294117647,0.998219059,0,0,34932
1,2.69e-05,0.333333333,0.0,5.77e-05,0.6,0.006503,0,0.425,0.962962963,0.976744186,0.735294118,0.696969697,0.46969697,1.0,0.418604651,0.360465116,0.058823529,0.887894913,0,0,16724
0,0.016650874,0.333333333,0.0,0.421384778,0.45,0.0,0,0.575,0.981481481,1.0,0.867647059,0.848484848,0.375757576,1.0,0.418604651,0.441860465,0.0,0.073737724,0,0,24452
0,0.033732646,0.333333333,0.0,0.954572815,0.45,0.0,0,0.775,0.981481481,1.0,1.0,0.909090909,0.496969697,1.0,0.441860465,0.337209302,0.058823529,0.000739398,0,0,3443
0,0.001477993,0.62962963,0.0,0.010252005,0.45,7.3e-05,0,0.675,0.981481481,1.0,0.970588235,0.909090909,0.406060606,1.0,0.465116279,0.430232558,0.176470588,0.074833613,0,0,22020
1,0.021966366,0.62962963,0.064483833,0.074072875,0.5,0.051402,0,0.425,0.981481481,0.976744186,0.764705882,0.636363636,0.342424242,1.0,0.372093023,0.465116279,0.176470588,0.9968572,0,0,40950
