idx,phy_ul_n_samples,phy_dl_n_samples,mac_dl_buffer,mac_dl_brate,mac_ul_brate,mac_dl_ok,mac_dl_nok,mac_ul_ok,mac_ul_nok,timestamp,label_encoded
0,0,3,0,622,0,1,0,0,0,16668593,0
1,48,4,0,110577,227022,2,0,17,2,16668593,0
2,23,5,0,116266,272622,2,0,7,3,16668593,0
3,18,5,0,117688,211111,2,0,7,0,16668593,0
4,17,5,0,114844,225244,2,0,6,0,16668593,0
5,16,6,0,116266,209333,2,0,7,0,16668593,0
6,11,5,0,83111,132355,1,0,5,0,16668593,0
7,27,3,0,116266,186844,2,0,6,4,16668593,0
8,11,5,0,116266,88000,2,0,6,0,16668593,0
9,19,6,0,116266,167111,2,0,8,0,16668593,0
10,22,5,0,33155,129600,1,0,4,4,16668593,0
11,26,2,0,116266,130844,2,0,6,4,16668593,0
12,27,4,0,114844,87644,2,0,6,4,16668593,0
13,15,4,0,114844,208888,2,0,6,0,16668593,0
14,15,2,0,83111,139555,1,0,6,0,16668593,0
15,9,3,0,34577,153600,1,0,4,0,16668593,0
16,19,8,0,199377,171822,3,0,7,1,16668593,0
17,14,6,0,116266,182488,2,0,7,0,16668593,0
18,8,5,0,33155,114488,1,0,4,0,16668593,0
19,34,4,0,199377,239555,3,0,9,4,16668593,0
20,13,5,0,33528,165033,1,0,6,0,16668593,0
21,11,2,0,114989,80879,2,0,4,0,16668593,0
22,20,4,0,116266,133422,2,0,5,2,16668593,0
23,35,5,0,116266,271288,2,0,11,2,16668593,0
24,5,2,0,83111,54666,1,0,3,0,16668593,0
25,16,2,0,114400,165066,1,0,3,3,16668593,0
26,26,8,0,199377,202222,3,0,11,0,16668593,0
27,27,6,0,34577,196000,1,1,11,0,16668593,0
28,51,7,0,196533,284533,3,1,21,0,16668593,0
29,31,4,0,34577,186133,1,0,14,0,16668593,0
30,7,2,0,130488,41866,2,0,3,0,16668593,0
31,66,12,0,148800,362755,4,1,28,0,16668593,0
32,17,5,0,116266,136088,2,0,7,0,16668593,0
33,11,5,0,83111,133777,1,0,5,0,16668593,0
34,24,5,0,149422,300533,3,0,11,0,16668593,0
35,6,2,0,83111,52355,1,0,3,0,16668593,0
36,16,4,0,116266,146488,2,0,6,0,16668593,0
37,13,6,0,114400,216266,1,0,5,0,16668593,0
38,2,0,0,33155,1333,1,0,1,0,16668593,0
39,22,0,0,156800,183555,1,0,5,4,16668593,0
40,18,8,0,127644,108888,2,0,8,0,16668593,0
41,53,5,0,148000,237422,3,0,20,1,16668593,0
42,48,6,0,116266,271733,2,0,20,0,16668593,0
43,17,2,0,80266,88533,1,0,7,0,16668593,0
44,87,13,0,215733,475733,5,0,35,0,16668593,0
45,16,2,0,83111,95911,1,0,7,0,16668593,0
46,60,4,0,116266,341866,2,0,24,0,16668593,0
47,29,5,0,33155,247466,1,0,12,1,16668593,0
48,8,0,0,80266,125066,1,0,3,1,16668593,0
49,61,10,0,149422,331022,3,1,25,0,16668593,0
50,42,5,0,116266,199911,2,0,17,0,16668593,0
51,20,2,0,83111,95822,1,0,8,0,16668593,0
52,79,6,0,147555,417244,2,0,33,0,16668593,0
53,6,3,0,83111,52177,1,0,3,0,16668593,0
54,21,7,0,113422,292533,2,0,9,0,16668593,0
55,21,4,0,148000,243911,3,0,8,0,16668593,0
56,15,5,0,83111,134755,1,0,6,0,16668593,0
57,15,2,0,121955,134755,2,0,6,0,16668593,0
58,17,5,0,33155,129777,1,0,4,4,16668593,0
59,13,3,0,121955,164355,2,0,5,0,16668593,0
60,17,5,0,88800,168088,1,0,7,0,16668593,0
61,15,5,0,115111,102933,4,0,6,0,16668593,0
62,10,8,0,159377,137511,3,0,3,2,16668593,0
63,20,5,0,121955,223466,2,0,8,0,16668593,0
64,8,3,0,33155,34400,1,0,3,0,16668593,0
65,36,12,0,200355,250577,4,1,11,3,16668593,0
66,37,6,0,31733,186933,1,0,15,0,16668593,0
67,7,0,0,83111,28088,1,0,3,0,16668593,0
68,6,2,0,88800,66933,1,0,3,0,16668593,0
69,46,8,0,155111,259111,3,1,19,0,16668593,0
70,41,4,0,121955,212888,2,0,17,0,16668593,0
71,26,7,0,136177,239911,2,0,11,0,16668593,0
72,79,8,0,277066,467466,5,0,33,0,16668593,0
73,15,3,0,88800,108088,1,0,6,0,16668593,0
74,17,5,0,121955,249688,2,0,7,0,16668593,0
75,14,8,0,111555,86755,3,0,6,0,16668593,0
76,24,8,0,115644,240444,3,0,7,3,16668593,0
77,15,5,0,33155,127200,1,0,6,1,16668593,0
78,25,2,0,114844,83733,2,0,5,4,16668593,0
79,15,5,0,114844,208888,2,0,6,0,16668593,0
80,19,4,0,121955,198933,2,0,8,0,16668593,0
81,26,4,0,121955,209155,2,0,7,3,16668593,0
82,26,7,0,169333,134488,3,0,5,4,16668593,0
83,22,8,0,210755,166222,3,0,8,0,16668593,0
84,21,11,0,146844,324888,4,0,9,1,16668593,0
85,26,5,0,114844,134755,2,0,6,4,16668593,0
86,14,4,0,88800,73777,1,1,6,0,16668593,0
87,56,8,0,155111,523466,3,1,23,0,16668593,0
88,15,3,0,88800,80000,1,0,6,0,16668593,0
89,40,5,0,121955,222755,2,0,17,0,16668593,0
90,64,7,0,210755,320800,3,0,28,0,16668593,0
91,12,8,0,199377,148177,3,0,3,2,16668593,0
92,19,7,0,121955,234666,2,0,8,0,16668593,0
93,7,3,0,33155,52355,1,0,3,0,16668593,0
94,13,2,0,113422,85955,2,0,5,0,16668593,0
95,19,11,0,200355,308266,4,0,8,0,16668593,0
96,18,4,0,113422,175733,2,0,7,0,16668593,0
97,8,2,0,80266,119200,1,0,3,0,16668593,0
98,2,5,0,133333,47377,2,0,1,0,16668593,0
99,15,4,0,220266,360000,2,0,6,0,16668593,0
100,14,7,0,162222,165511,3,0,6,0,16668593,0
101,13,5,0,66577,286577,1,0,6,0,16668593,0
102,31,0,0,156800,279022,1,0,9,4,16668593,0
103,12,5,0,81955,57511,2,0,5,0,16668593,0
104,47,9,0,162222,259466,3,1,19,0,16668593,0
105,64,9,0,155111,329066,3,1,25,0,16668593,0
106,42,6,0,113422,224977,2,0,17,0,16668593,0
