timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-04T07:09:09.442288+00:00,0.001,fetching,0.0,1792.2109375,0.0,18962.0625
2026-06-04T07:09:11.452343+00:00,2.011,fetching,50.0,1977.71875,0.0,18962.0625
2026-06-04T07:09:13.452908+00:00,4.012,inferring,121.4,2204.05859375,2.0,18962.0625
2026-06-04T07:09:15.453422+00:00,6.012,inferring,123.5,2204.65625,16.0,18962.0625
2026-06-04T07:09:17.453923+00:00,8.013,inferring,123.5,2201.73046875,16.0,18962.0625
2026-06-04T07:09:19.457237+00:00,10.016,inferring,121.0,2204.3125,16.0,18962.0625
2026-06-04T07:09:21.457751+00:00,12.017,inferring,123.8,2203.58203125,22.0,18962.0625
2026-06-04T07:09:23.459047+00:00,14.018,inferring,123.5,2204.12109375,20.0,18962.0625
2026-06-04T07:09:25.462625+00:00,16.021,inferring,122.8,2205.86328125,21.0,18962.0625
2026-06-04T07:09:27.463010+00:00,18.022,inferring,122.9,2206.3671875,17.0,18962.0625
2026-06-04T07:09:29.463471+00:00,20.022,inferring,123.5,2207.05859375,24.0,18962.0625
2026-06-04T07:09:31.465048+00:00,22.024,inferring,124.0,2206.73828125,16.0,18962.0625
2026-06-04T07:09:33.465593+00:00,24.024,inferring,123.4,2203.0703125,18.0,18962.0625
