timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-05T13:44:07.015839+00:00,0.001,fetching,0.0,158.9140625,,
2026-06-05T13:44:09.016153+00:00,2.001,fetching,85.0,200.828125,,
2026-06-05T13:44:11.082940+00:00,4.068,fetching,89.8,211.66796875,,
2026-06-05T13:44:13.229037+00:00,6.214,fetching,92.3,215.87890625,,
2026-06-05T13:44:15.258323+00:00,8.243,fetching,92.5,216.17578125,,
2026-06-05T13:44:17.293966+00:00,10.279,fetching,92.5,219.47265625,,
2026-06-05T13:44:19.294320+00:00,12.279,inferring,34.5,221.10546875,,
2026-06-05T13:44:21.294680+00:00,14.28,inferring,9.5,221.12109375,,
2026-06-05T13:44:23.294927+00:00,16.28,inferring,8.5,221.62109375,,
2026-06-05T13:44:25.295175+00:00,18.28,inferring,10.0,221.62109375,,
2026-06-05T13:44:27.295571+00:00,20.281,inferring,12.0,221.62109375,,
2026-06-05T13:44:29.295820+00:00,22.281,inferring,9.5,223.25390625,,
2026-06-05T13:44:31.296177+00:00,24.281,inferring,9.5,227.20703125,,
2026-06-05T13:44:33.296547+00:00,26.282,inferring,8.5,230.86328125,,
