timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-02T07:43:13.373526+00:00,0.001,fetching,0.0,311.1171875,,
2026-06-02T07:43:15.373796+00:00,2.001,fetching,83.5,324.7265625,,
2026-06-02T07:43:17.476361+00:00,4.104,fetching,90.7,338.7578125,,
2026-06-02T07:43:19.619187+00:00,6.247,fetching,92.6,353.75390625,,
2026-06-02T07:43:21.685568+00:00,8.313,fetching,92.3,364.55078125,,
2026-06-02T07:43:23.745188+00:00,10.373,fetching,93.9,376.328125,,
2026-06-02T07:43:25.745524+00:00,12.373,inferring,51.5,458.7890625,,
2026-06-02T07:43:27.747486+00:00,14.375,inferring,31.5,458.7890625,,
2026-06-02T07:43:29.763613+00:00,16.391,inferring,30.3,458.7890625,,
2026-06-02T07:43:31.763933+00:00,18.391,inferring,53.0,458.7890625,,
2026-06-02T07:43:33.780408+00:00,20.408,inferring,50.1,458.7890625,,
2026-06-02T07:43:35.780741+00:00,22.408,inferring,40.0,458.7890625,,
2026-06-02T07:43:37.781053+00:00,24.409,inferring,28.0,458.7890625,,
2026-06-02T07:43:39.781372+00:00,26.409,inferring,30.5,458.7890625,,
2026-06-02T07:43:41.781795+00:00,28.409,inferring,31.0,459.21875,,
2026-06-02T07:43:43.782133+00:00,30.41,inferring,30.5,461.28125,,
2026-06-02T07:43:45.782420+00:00,32.41,inferring,31.5,462.40625,,
2026-06-02T07:43:47.782880+00:00,34.41,inferring,29.0,464.5625,,
