timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-04T05:14:31.534583+00:00,0.001,fetching,0.0,255.39453125,,
2026-06-04T05:14:33.534885+00:00,2.001,fetching,85.0,293.921875,,
2026-06-04T05:14:35.594895+00:00,4.061,fetching,89.7,305.4296875,,
2026-06-04T05:14:37.636458+00:00,6.103,fetching,93.0,318.53515625,,
2026-06-04T05:14:39.663621+00:00,8.13,fetching,90.5,331.03125,,
2026-06-04T05:14:41.710616+00:00,10.177,fetching,92.1,344.09375,,
2026-06-04T05:14:43.710946+00:00,12.177,inferring,65.7,427.203125,,
2026-06-04T05:14:45.712309+00:00,14.179,inferring,40.0,427.20703125,,
2026-06-04T05:14:47.712637+00:00,16.179,inferring,39.5,427.20703125,,
2026-06-04T05:14:49.712927+00:00,18.179,inferring,39.5,427.20703125,,
2026-06-04T05:14:51.713941+00:00,20.18,inferring,40.0,427.20703125,,
2026-06-04T05:14:53.714197+00:00,22.181,inferring,39.5,427.20703125,,
2026-06-04T05:14:55.714477+00:00,24.181,inferring,39.5,427.55078125,,
2026-06-04T05:14:57.715505+00:00,26.182,inferring,39.5,427.55078125,,
2026-06-04T05:14:59.715845+00:00,28.182,inferring,39.5,427.55078125,,
2026-06-04T05:15:01.716087+00:00,30.183,inferring,39.5,427.55078125,,
2026-06-04T05:15:03.716322+00:00,32.183,inferring,38.5,427.55078125,,
2026-06-04T05:15:05.716588+00:00,34.183,inferring,39.0,427.55078125,,
2026-06-04T05:15:07.716917+00:00,36.183,inferring,39.5,427.55078125,,
2026-06-04T05:15:09.717230+00:00,38.184,inferring,40.0,427.55078125,,
2026-06-04T05:15:11.718479+00:00,40.185,inferring,38.5,427.55078125,,
2026-06-04T05:15:13.719594+00:00,42.186,inferring,40.5,427.55078125,,
2026-06-04T05:15:15.719910+00:00,44.186,inferring,38.5,427.55078125,,
2026-06-04T05:15:17.720181+00:00,46.187,inferring,38.5,427.55078125,,
2026-06-04T05:15:19.720462+00:00,48.187,inferring,38.5,427.55078125,,
2026-06-04T05:15:21.720845+00:00,50.187,inferring,41.5,427.5546875,,
2026-06-04T05:15:23.721082+00:00,52.188,inferring,39.5,428.08984375,,
2026-06-04T05:15:25.721771+00:00,54.188,inferring,38.0,429.31640625,,
