dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ue_id,timestamp,cellid,in_sync,traffic_type
0.009799028,0.37037036,0.0,0.3251831,0.55,7.1e-05,0.0,0.575,0.9814815,1.0,1.0,0.969697,0.37575758,1.0,0.4883721,0.40697673,0.0,0.07572328,0.0,0.0,0
0.010080476,0.33333334,0.0,0.32680583,0.45,0.0,0.0,0.725,0.9814815,1.0,1.0,0.969697,0.46969697,1.0,0.44186047,0.37209302,0.0,0.07583146,0.0,0.0,0
0.01672301,0.33333334,0.0,0.4218367,0.45,0.0,0.0,0.625,0.9814815,1.0,1.0,0.8787879,0.42424244,1.0,0.53488374,0.74418604,0.0,0.07376832,0.0,0.0,0
0.13623656,0.22222222,0.9478252,0.16001767,0.3,1.0,0.0,0.35,0.962963,1.0,0.8088235,0.6666667,0.92424244,0.0,0.0,0.046511628,0.05882353,0.9998825,0.0,0.0,0
0.05249774,0.33333334,0.0,0.11748893,0.45,0.0,0.0,0.75,0.9814815,1.0,1.0,0.969697,0.46969697,1.0,0.39534885,0.7209302,0.0,0.053572062,0.0,0.0,0
0.006899038,0.6666667,0.051785886,0.002997249,0.4,0.12138,0.0,0.575,0.9814815,1.0,1.0,0.90909094,0.4969697,1.0,0.41860464,0.30232558,1.0,0.9999974,0.0,0.0,0
0.015092831,0.37037036,0.0,0.44275293,0.45,0.0,0.0,0.85,0.9814815,1.0,1.0,0.93939394,0.36363637,1.0,0.44186047,0.4883721,0.05882353,2.62e-06,0.0,0.0,0
0.007587584,0.8148148,0.11050013,0.180405,0.75,0.116538,0.0,0.525,0.962963,1.0,0.9852941,0.8181818,0.35454544,1.0,0.4883721,0.43023255,0.05882353,0.056270715,0.0,0.0,0
0.015161692,0.33333334,0.0,0.4431176,0.45,0.0,0.0,0.8,0.9814815,1.0,1.0,0.93939394,0.44545454,1.0,0.44186047,0.73255813,0.05882353,1.4e-05,0.0,0.0,0
0.0524848,0.33333334,0.0,0.117439486,0.45,0.0,0.0,0.775,0.9814815,1.0,1.0,1.0,0.46969697,1.0,0.39534885,0.39534885,0.0,0.05354453,0.0,0.0,0
0.004369559,0.33333334,2.53e-05,0.011178382,0.45,0.0,0.0,0.475,0.9814815,0.9767442,0.5882353,0.72727275,0.4060606,1.0,0.41860464,0.44186047,0.0,0.11417984,0.0,0.0,0
0.052534513,0.33333334,0.0,0.11762948,0.45,0.0,0.0,0.75,0.9814815,1.0,1.0,0.8484849,0.44545454,1.0,0.4883721,0.38372093,0.0,0.0536503,0.0,0.0,0
0.002770499,0.37037036,0.0,0.006736165,0.75,0.000503,0.0,0.425,0.9814815,0.9767442,0.7352941,0.7878788,0.44545454,1.0,0.37209302,0.73255813,0.0,0.114027955,0.0,0.0,0
0.009630852,0.37037036,0.0,0.3244282,0.5,0.0,0.0,0.7,0.9814815,1.0,1.0,0.969697,0.44545454,1.0,0.41860464,0.40697673,0.0,0.07570318,0.0,0.0,0
0.015692893,0.33333334,0.0,0.44625658,0.45,0.0,0.0,0.8,0.9814815,1.0,1.0,0.90909094,0.42424244,1.0,0.44186047,0.74418604,0.05882353,0.000182917,0.0,0.0,0
0.033710636,0.33333334,0.0,0.95447457,0.5,0.0,0.0,0.725,0.9814815,1.0,1.0,0.8484849,0.3909091,1.0,0.44186047,0.44186047,0.05882353,0.000699405,0.0,0.0,0
0.004283258,0.4074074,0.0,0.010879857,0.6,0.054681,0.0,0.425,0.9814815,0.9767442,0.63235295,0.75757575,0.37575758,1.0,0.4651163,0.7790698,0.0,0.11416957,0.0,0.0,0
0.004182013,0.33333334,0.0,0.010536795,0.45,0.000952,0.0,0.45,0.9814815,0.9767442,0.61764705,0.72727275,0.42424244,1.0,0.4883721,0.74418604,0.0,0.11415799,0.0,0.0,0
0.001835192,0.33333334,0.0,0.012423286,0.5,4.2e-05,0.0,0.675,0.9814815,1.0,1.0,0.969697,0.42424244,1.0,0.44186047,0.41860464,0.1764706,0.07490158,0.0,0.0,0
0.004118023,0.6296296,0.0,0.01033669,0.6,0.019705,0.0,0.425,0.9814815,0.9767442,0.61764705,0.75757575,0.36363637,1.0,0.41860464,0.44186047,0.0,0.11415078,0.0,0.0,0
0.033724476,0.33333334,0.0,0.9545418,0.45,0.0,0.0,0.75,0.9814815,1.0,1.0,0.93939394,0.46969697,1.0,0.41860464,0.7093023,0.05882353,0.000722133,0.0,0.0,0
0.016199116,0.7777778,0.05577843,0.33287355,0.65,0.054136,0.0,0.575,0.962963,1.0,1.0,0.90909094,0.33333334,1.0,0.3488372,0.43023255,0.11764706,0.07470787,0.0,0.0,0
0.052535824,0.33333334,0.0,0.11763457,0.45,0.0,0.0,0.8,0.9814815,1.0,1.0,0.8787879,0.4969697,1.0,0.44186047,0.3372093,0.0,0.05365314,0.0,0.0,0
0.015135142,0.44444445,0.0,0.44298154,0.9,0.046667,0.0,0.825,0.9814815,1.0,1.0,0.969697,0.42424244,1.0,0.41860464,0.40697673,0.05882353,9.62e-06,0.0,0.0,0
0.052528333,0.33333334,0.0,0.11760593,0.45,0.0,0.0,0.725,0.9814815,1.0,1.0,0.8787879,0.44545454,1.0,0.39534885,0.73255813,0.0,0.053637188,0.0,0.0,0
0.00380471,0.37037036,0.0,0.015158655,0.5,0.07968,0.0,0.65,0.9814815,0.9767442,0.61764705,0.5151515,0.25757575,1.0,0.41860464,0.5,0.8235294,0.99982613,0.0,0.0,0
0.010051579,0.33333334,0.0,0.32670802,0.45,0.0,0.0,0.625,0.9814815,1.0,1.0,0.969697,0.36363637,1.0,0.4651163,0.45348838,0.0,0.07577661,0.0,0.0,0
0.052519687,0.33333334,0.0,0.11757294,0.45,0.0,0.0,0.75,0.9814815,1.0,1.0,0.90909094,0.44545454,1.0,0.41860464,0.73255813,0.0,0.05361883,0.0,0.0,0
0.003693354,0.33333334,0.0,0.014436376,0.45,0.123246,0.0,0.55,0.9814815,0.9767442,0.75,0.6060606,0.35454544,1.0,0.44186047,0.4651163,0.8235294,0.99980277,0.0,0.0,0
0.052478094,0.33333334,0.0,0.117413975,0.45,0.0,0.0,0.75,0.9814815,1.0,1.0,1.0,0.44545454,1.0,0.39534885,0.37209302,0.0,0.05353032,0.0,0.0,0
0.006573813,0.33333334,0.0,0.016942551,0.35,0.0,0.0,0.5,0.9814815,1.0,1.0,0.8484849,0.44545454,1.0,0.44186047,0.7209302,0.05882353,0.0551855,0.0,0.0,0
0.13642912,0.22222222,0.90624493,0.16002701,0.3,1.0,0.0,0.35,0.962963,1.0,0.8088235,0.6666667,0.92121214,0.0,0.0,0.034883723,0.05882353,0.9999107,0.0,0.0,0
0.015080529,0.37037036,0.0,0.018327082,0.5,0.055574,0.0,0.725,0.9814815,0.9767442,0.7058824,0.57575756,0.53636366,1.0,0.4651163,0.29069766,0.8235294,0.99992275,0.0,0.0,0
0.016048457,0.8148148,0.08417075,0.3271493,0.6,0.05902,0.0,0.6,0.962963,1.0,1.0,0.93939394,0.3242424,1.0,0.44186047,0.44186047,0.11764706,0.07470394,0.0,0.0,0
0.016003553,0.6666667,0.112690374,0.41781402,0.45,0.035593,0.0,0.5,0.9814815,1.0,0.88235295,0.8787879,0.29393938,1.0,0.4883721,0.5,0.0,0.073627144,0.0,0.0,0
0.015945014,0.37037036,0.0104087,0.018562501,0.5,0.033568,0.0,0.625,0.9814815,0.9767442,0.6764706,0.6666667,0.28484848,1.0,0.4651163,0.5,0.8235294,0.99992996,0.0,0.0,0
0.006585284,0.33333334,0.0,0.016975267,0.3,0.158653,0.0,0.35,0.9814815,1.0,1.0,0.8484849,0.3242424,1.0,0.39534885,0.4651163,0.05882353,0.05520932,0.0,0.0,0
0.13611753,0.22222222,0.8901242,0.16001174,0.3,1.0,0.0,0.35,0.962963,1.0,0.8088235,0.6666667,0.92424244,0.0,0.0,0.023255814,0.05882353,0.99986523,0.0,0.0,0
0.001081827,0.4074074,0.0,0.000987862,0.7,0.031617,0.0,0.5,0.962963,0.9767442,0.7352941,0.54545456,0.3909091,1.0,0.4883721,0.5116279,1.0,0.9998871,0.0,0.0,0
0.005557753,0.37037036,0.022270152,0.016076185,0.45,0.103162,0.0,0.5,1.0,0.9767442,0.6617647,0.6060606,0.3242424,1.0,0.7209302,0.4651163,0.8235294,0.9998526,0.0,0.0,0
0.006899038,0.6666667,0.051785886,0.002997249,0.4,0.12138,0.0,0.575,0.9814815,1.0,0.88235295,0.6363636,0.4969697,1.0,0.41860464,0.30232558,1.0,0.99999017,0.0,0.0,0
0.008074351,0.37037036,0.0,0.19702686,0.7,0.069577,0.0,0.45,0.962963,1.0,0.9558824,0.72727275,0.35454544,1.0,0.4883721,0.5,0.05882353,0.056291036,0.0,0.0,0
0.00154168,0.5185185,0.0,0.0105715,0.45,0.006373,0.0,0.7,0.9814815,1.0,0.9852941,0.969697,0.42424244,1.0,0.41860464,0.38372093,0.1764706,0.074843444,0.0,0.0,0
0.015587307,0.33333334,0.0,0.44567215,0.5,0.0,0.0,0.775,0.9814815,1.0,1.0,0.90909094,0.37575758,1.0,0.4651163,0.4651163,0.05882353,9.55e-05,0.0,0.0,0
0.004572419,0.5555556,1.01e-06,0.001791598,0.7,0.055185,0.0,0.425,0.962963,0.9767442,0.6911765,0.6666667,0.35454544,1.0,0.4651163,0.47674417,1.0,0.9999085,0.0,0.0,0
0.13422945,0.8888889,0.036046047,0.15758325,0.65,0.059367,0.0,0.575,0.962963,1.0,0.9558824,0.8787879,0.3909091,1.0,0.39534885,0.44186047,0.05882353,0.9997907,0.0,0.0,0
0.033741765,0.33333334,0.0,0.95460737,0.45,0.0,0.0,0.775,0.9814815,1.0,1.0,0.90909094,0.46969697,1.0,0.5116279,0.7209302,0.05882353,0.000758629,0.0,0.0,0
0.017151034,0.6296296,0.056882642,0.018992865,0.5,0.075852,0.0,0.55,0.9814815,0.9767442,0.60294116,0.7878788,0.35454544,1.0,0.4883721,0.40697673,0.8235294,0.9999882,0.0,0.0,0
0.025111947,0.8148148,0.13686183,0.924233,0.55,0.128166,0.0,0.65,0.962963,1.0,0.9852941,0.8787879,0.33333334,1.0,0.5116279,0.44186047,0.05882353,0.000579209,0.0,0.0,0
0.00174314,0.4074074,0.0,0.011796022,0.55,0.00124,0.0,0.65,0.9814815,1.0,1.0,0.90909094,0.36363637,1.0,0.4883721,0.4651163,0.1764706,0.074881256,0.0,0.0,0
0.000709785,0.4814815,0.002232673,0.006857999,0.5,1e-06,0.0,0.65,0.9814815,1.0,1.0,0.93939394,0.4969697,1.0,0.4651163,0.3488372,0.1764706,0.07473112,0.0,0.0,0
0.009533205,0.4074074,0.001338593,0.32399094,0.7,0.013298,0.0,0.65,0.9814815,1.0,1.0,0.969697,0.44545454,1.0,0.41860464,0.73255813,0.0,0.07569269,0.0,0.0,0
0.003409089,0.5555556,0.0,0.008277765,0.7,0.014197,0.0,0.475,0.9814815,0.9767442,0.63235295,0.72727275,0.4060606,1.0,0.39534885,0.41860464,0.0,0.11407953,0.0,0.0,0
0.13471565,0.8518519,0.09687982,0.15829597,0.7,0.114337,0.0,0.6,0.962963,1.0,0.9117647,0.8787879,0.37575758,1.0,0.41860464,0.44186047,0.05882353,0.99981016,0.0,0.0,0
0.000913873,0.37037036,0.0,0.007614109,0.55,0.000576,0.0,0.7,0.9814815,1.0,0.9852941,0.93939394,0.42424244,1.0,0.39534885,0.37209302,0.1764706,0.0747521,0.0,0.0,0
0.004211238,0.44444445,0.0,0.010651395,0.45,0.036092,0.0,0.525,0.9814815,0.95348835,0.5735294,0.72727275,0.42424244,1.0,0.44186047,0.37209302,0.0,0.11416214,0.0,0.0,0
0.010060279,0.33333334,0.0,0.32673556,0.45,0.0,0.0,0.775,0.9814815,1.0,1.0,0.93939394,0.44545454,1.0,0.4883721,0.38372093,0.0,0.07579213,0.0,0.0,0
0.033703707,0.33333334,0.0,0.95441794,0.45,0.0,0.0,0.725,0.9814815,1.0,0.9558824,0.8181818,0.44545454,1.0,0.44186047,0.38372093,0.05882353,0.000697438,0.0,0.0,0
0.01620677,0.5185185,0.0,0.41867846,0.5,0.0,0.0,0.675,0.9814815,1.0,0.89705884,0.8787879,0.42424244,1.0,0.41860464,0.41860464,0.0,0.073648125,0.0,0.0,0
0.001302056,0.8888889,0.024720032,0.006146882,0.85,0.124054,0.0,0.625,0.9814815,1.0,1.0,0.969697,0.4060606,1.0,0.41860464,0.41860464,0.0,0.075467534,0.0,0.0,0
0.052463006,0.33333334,0.0,0.11735623,0.45,0.0,0.0,0.75,0.9814815,1.0,1.0,0.93939394,0.42424244,1.0,0.44186047,0.40697673,0.0,0.053498197,0.0,0.0,0
0.002237375,0.6296296,0.010418803,0.005389307,0.45,0.007768,0.0,0.4,0.9814815,0.95348835,0.5735294,0.75757575,0.44545454,1.0,0.4651163,0.37209302,0.0,0.11399124,0.0,0.0,0
0.014330639,0.4074074,0.0,0.01813709,0.5,0.039713,0.0,0.425,0.9814815,0.9767442,0.7352941,0.6363636,0.27272728,1.0,0.5116279,0.5,0.8235294,0.99991685,0.0,0.0,0
0.006856195,0.7407407,0.07389844,0.16732468,0.8,0.041296,0.0,0.525,0.962963,1.0,1.0,0.8181818,0.3151515,1.0,0.41860464,0.45348838,0.05882353,0.056258913,0.0,0.0,0
0.025665155,0.8148148,0.0666963,0.9453184,0.6,0.000999,0.0,0.7,0.9814815,1.0,1.0,0.8787879,0.42424244,1.0,0.41860464,0.40697673,0.05882353,0.000589262,0.0,0.0,0
0.001565266,0.37037036,0.0,0.010710136,0.45,0.0,0.0,0.625,0.9814815,1.0,0.9558824,0.90909094,0.4060606,1.0,0.4651163,0.44186047,0.1764706,0.07484782,0.0,0.0,0
0.000930453,0.7777778,0.0625805,0.00438447,0.8,0.049612,0.0,0.575,0.962963,1.0,1.0,0.969697,0.27878788,1.0,0.4883721,0.4651163,0.0,0.075464696,0.0,0.0,0
0.001572784,0.33333334,0.0,0.010761443,0.45,0.0,0.0,0.675,0.9814815,1.0,1.0,0.90909094,0.4060606,1.0,0.4651163,0.40697673,0.1764706,0.074849345,0.0,0.0,0
0.001457026,0.6666667,0.0,0.010178853,0.45,0.000355,0.0,0.575,0.9814815,1.0,0.9852941,0.93939394,0.46969697,1.0,0.39534885,0.39534885,0.1764706,0.074830994,0.0,0.0,0
0.01614338,0.33333334,0.0,0.41840008,0.5,0.000136,0.0,0.625,0.9814815,1.0,0.9117647,0.8787879,0.42424244,1.0,0.4651163,0.44186047,0.0,0.07364113,0.0,0.0,0
0.00648962,0.7407407,0.055168234,0.22502898,0.65,0.061078,0.0,0.625,0.962963,1.0,1.0,0.93939394,0.33333334,1.0,0.4883721,0.41860464,0.0,0.075620726,0.0,0.0,0
0.006563414,0.33333334,0.0,0.016911807,0.35,0.0,0.0,0.525,0.9814815,1.0,1.0,0.8484849,0.4969697,1.0,0.44186047,0.68604654,0.05882353,0.055163864,0.0,0.0,0
0.009901767,0.33333334,0.0,0.32574022,0.45,0.0,0.0,0.625,0.9814815,1.0,1.0,0.969697,0.44545454,1.0,0.37209302,0.3604651,0.0,0.07574077,0.0,0.0,0
0.03373595,0.33333334,0.0,0.9545854,0.45,0.0,0.0,0.8,0.9814815,1.0,1.0,0.90909094,0.46969697,1.0,0.4651163,0.7209302,0.05882353,0.000746391,0.0,0.0,0
0.027235571,0.7037037,0.0,0.95143604,0.8,0.054294,0.0,0.725,0.9814815,1.0,1.0,0.8787879,0.36363637,1.0,0.4651163,0.45348838,0.05882353,0.000609149,0.0,0.0,0
0.013548077,0.33333334,0.002761038,0.017974352,0.45,0.001813,0.0,0.55,1.0,0.9767442,0.61764705,0.5151515,0.21515152,1.0,0.4651163,0.5813953,0.8235294,0.99991137,0.0,0.0,0
0.001890531,0.37037036,0.0,0.012799449,0.45,2.5e-05,0.0,0.675,0.9814815,1.0,1.0,0.969697,0.3909091,1.0,0.44186047,0.44186047,0.1764706,0.07491316,0.0,0.0,0
0.03374313,0.33333334,0.0,0.95461243,0.45,0.0,0.0,0.8,0.9814815,1.0,1.0,0.93939394,0.46969697,1.0,0.4883721,0.7093023,0.05882353,0.00076147,0.0,0.0,0
0.1364457,0.22222222,0.9009744,0.16002765,0.3,1.0,0.0,0.35,0.962963,1.0,0.8088235,0.6666667,0.93333334,0.0,0.0,0.023255814,0.05882353,0.9999131,0.0,0.0,0
0.006899038,0.6666667,0.051785886,0.002997249,0.4,0.12138,0.0,0.575,0.9814815,1.0,0.9264706,0.6969697,0.4969697,1.0,0.41860464,0.30232558,1.0,0.99996567,0.0,0.0,0
0.1364841,0.22222222,0.8910466,0.16002937,0.3,1.0,0.0,0.35,0.962963,1.0,0.8088235,0.6666667,0.92424244,0.0,0.023255814,0.023255814,0.05882353,0.9999188,0.0,0.0,0
0.001770158,0.37037036,0.0,0.011973598,0.6,0.002832,0.0,0.675,0.9814815,1.0,1.0,0.90909094,0.37575758,1.0,0.41860464,0.44186047,0.1764706,0.07488672,0.0,0.0,0
0.01568865,0.33333334,0.0,0.44624048,0.45,0.0,0.0,0.8,0.9814815,1.0,1.0,0.90909094,0.42424244,1.0,0.41860464,0.74418604,0.05882353,0.000173957,0.0,0.0,0
0.003888606,0.37037036,0.011237113,0.015751468,0.7,0.13394,0.0,0.6,0.962963,0.9767442,0.7794118,0.6363636,0.28484848,1.0,0.41860464,0.5116279,0.8235294,0.9998458,0.0,0.0,0
0.052474532,0.33333334,0.0,0.11740024,0.45,0.0,0.0,0.75,0.9814815,1.0,1.0,0.969697,0.46969697,1.0,0.39534885,0.39534885,0.0,0.053522673,0.0,0.0,0
0.016723324,0.33333334,0.0,0.42183787,0.45,0.0,0.0,0.65,0.9814815,1.0,1.0,0.90909094,0.46969697,1.0,0.41860464,0.37209302,0.0,0.07376897,0.0,0.0,0
0.015370633,0.4814815,0.0,0.44416678,0.45,0.000115,0.0,0.775,0.9814815,1.0,1.0,0.93939394,0.37575758,1.0,0.41860464,0.41860464,0.05882353,4.7e-05,0.0,0.0,0
0.016715916,0.33333334,0.0,0.42181584,0.45,3e-05,0.0,0.625,0.9814815,1.0,0.9852941,0.90909094,0.46969697,1.0,0.41860464,0.3372093,0.0,0.073756516,0.0,0.0,0
0.004362071,0.4074074,0.000442494,0.011142976,0.45,2.1e-05,0.0,0.525,0.9814815,0.9767442,0.63235295,0.75757575,0.3909091,1.0,0.44186047,0.76744187,0.0,0.11417853,0.0,0.0,0
0.05254457,0.33333334,0.0,0.11766796,0.45,0.0,0.0,0.775,0.9814815,1.0,1.0,0.93939394,0.46969697,1.0,0.39534885,0.7093023,0.0,0.053671718,0.0,0.0,0
0.001371676,0.37037036,0.0,0.009691606,0.5,0.005778,0.0,0.7,0.9814815,1.0,1.0,0.93939394,0.44545454,1.0,0.44186047,0.37209302,0.1764706,0.074815914,0.0,0.0,0
0.005948891,0.33333334,0.06855417,0.01613986,0.45,0.09799,0.0,0.525,0.9814815,0.9767442,0.7205882,0.6060606,0.26060605,1.0,0.41860464,0.5232558,0.8235294,0.99985343,0.0,0.0,0
0.005883188,0.8148148,0.16061707,0.15266576,0.7,0.080297,0.0,0.55,0.962963,1.0,0.9264706,0.8181818,0.36363637,1.0,0.41860464,0.41860464,0.05882353,0.05624689,0.0,0.0,0
0.015088069,0.33333334,0.0,0.4427233,0.7,1e-06,0.0,0.825,0.9814815,1.0,1.0,0.93939394,0.36363637,1.0,0.41860464,0.44186047,0.05882353,1.75e-06,0.0,0.0,0
0.003964343,0.44444445,0.10965151,0.015887301,0.3,0.078242,0.0,0.475,0.9814815,0.9767442,0.6764706,0.57575756,0.25151515,1.0,0.5813953,0.54651165,0.8235294,0.99985015,0.0,0.0,0
0.004191746,0.4074074,0.0,0.010581704,0.5,1.6e-05,0.0,0.45,0.9814815,0.95348835,0.5882353,0.72727275,0.3909091,1.0,0.44186047,0.41860464,0.0,0.1141593,0.0,0.0,0
0.009873377,0.37037036,0.0,0.32556254,0.5,0.0,0.0,0.675,0.9814815,1.0,1.0,0.93939394,0.42424244,1.0,0.41860464,0.74418604,0.0,0.075735085,0.0,0.0,0
0.006558644,0.33333334,0.0,0.01689753,0.35,0.0,0.0,0.5,0.9814815,1.0,1.0,0.8484849,0.42424244,1.0,0.44186047,0.74418604,0.05882353,0.05515381,0.0,0.0,0
0.015683226,0.33333334,0.0,0.44622007,0.45,0.0,0.0,0.85,0.9814815,1.0,1.0,0.90909094,0.4969697,1.0,0.4651163,0.3604651,0.05882353,0.000162593,0.0,0.0,0
0.015685584,0.33333334,0.0,0.44622913,0.45,1e-05,0.0,0.85,0.9814815,1.0,1.0,0.90909094,0.4969697,1.0,0.4651163,0.38372093,0.05882353,0.000167619,0.0,0.0,0
0.009404457,0.7407407,0.0,0.32349932,0.45,0.001561,0.0,0.7,0.9814815,1.0,1.0,0.93939394,0.42424244,1.0,0.44186047,0.37209302,0.0,0.075682856,0.0,0.0,0
0.006899038,0.6666667,0.051785886,0.002997249,0.4,0.12138,0.0,0.575,0.9814815,1.0,1.0,0.90909094,0.4969697,1.0,0.41860464,0.30232558,1.0,0.9999952,0.0,0.0,0
0.003794104,0.33333334,0.0,0.015087863,0.5,0.046844,0.0,0.675,0.9814815,0.9767442,0.6911765,0.54545456,0.27878788,1.0,0.4651163,0.47674417,0.8235294,0.9998246,0.0,0.0,0
0.016178897,0.44444445,0.0,0.41855103,0.7,0.010694,0.0,0.625,0.9814815,1.0,0.9117647,0.90909094,0.42424244,1.0,0.44186047,0.41860464,0.0,0.07364441,0.0,0.0,0
0.011191575,0.33333334,0.0,0.017235652,0.45,0.04469,0.0,0.6,0.9814815,0.9767442,0.6617647,0.6666667,0.29393938,1.0,0.37209302,0.8372093,0.8235294,0.99988884,0.0,0.0,0
0.003893698,0.33333334,0.000587971,0.015776616,0.6,0.010801,0.0,0.65,0.962963,0.9767442,0.75,0.6363636,0.3060606,1.0,0.37209302,0.5232558,0.8235294,0.9998469,0.0,0.0,0
0.006518846,0.33333334,0.0,0.016799284,0.3,0.092504,0.0,0.225,0.9814815,1.0,1.0,0.8181818,0.58787876,1.0,0.39534885,0.26744187,0.05882353,0.05509415,0.0,0.0,0
0.003757863,0.33333334,0.0,0.014864291,0.5,0.031911,0.0,0.675,0.9814815,0.9767442,0.61764705,0.5151515,0.3242424,1.0,0.4651163,0.4651163,0.8235294,0.99981654,0.0,0.0,0
0.03364241,0.33333334,0.0,0.95398694,0.45,0.0,0.0,0.775,0.9814815,1.0,0.9411765,0.8787879,0.44545454,1.0,0.41860464,0.7209302,0.05882353,0.000683889,0.0,0.0,0
0.001282223,0.37037036,0.0,0.009128683,0.45,0.0,0.0,0.675,0.9814815,1.0,1.0,0.93939394,0.11818182,1.0,0.44186047,0.61627907,0.1764706,0.07479864,0.0,0.0,0
0.010093656,0.33333334,0.0,0.32685357,0.45,0.06561,0.0,0.525,0.9814815,1.0,1.0,0.969697,0.42424244,1.0,0.39534885,0.39534885,0.0,0.07585812,0.0,0.0,0
0.05253975,0.33333334,0.0,0.1176495,0.45,0.0,0.0,0.8,0.9814815,1.0,1.0,0.93939394,0.46969697,1.0,0.39534885,0.38372093,0.0,0.053661443,0.0,0.0,0
0.052515708,0.33333334,0.0,0.11755765,0.45,0.0,0.0,0.75,0.9814815,1.0,1.0,0.90909094,0.44545454,1.0,0.44186047,0.73255813,0.0,0.053610306,0.0,0.0,0
0.00119296,0.4814815,0.0,0.008734566,0.45,1e-06,0.0,0.7,0.9814815,1.0,1.0,0.90909094,0.35454544,1.0,0.44186047,0.41860464,0.1764706,0.07478685,0.0,0.0,0
0.03336406,0.5555556,0.04166814,0.95221245,0.45,0.003335,0.0,0.725,0.9814815,1.0,1.0,0.90909094,0.4060606,1.0,0.4651163,0.75581396,0.05882353,0.000628599,0.0,0.0,0
0.13628738,0.22222222,0.87527746,0.16002014,0.3,1.0,0.0,0.35,0.962963,1.0,0.8088235,0.6666667,0.93030304,0.0,0.0,0.034883723,0.05882353,0.99988997,0.0,0.0,0
0.13679788,0.22222222,0.95149446,0.16004436,0.3,1.0,0.0,0.35,0.962963,1.0,0.8088235,0.6666667,0.92424244,0.0,0.0,0.046511628,0.05882353,0.9999893,0.0,0.0,0
0.001331774,0.37037036,0.0,0.009436961,0.45,0.0,0.0,0.725,0.9814815,1.0,1.0,0.93939394,0.4969697,1.0,0.44186047,0.38372093,0.1764706,0.07480848,0.0,0.0,0
0.016718639,0.33333334,0.0,0.42182398,0.45,0.0,0.0,0.675,0.9814815,1.0,1.0,0.90909094,0.42424244,1.0,0.44186047,0.40697673,0.0,0.073761106,0.0,0.0,0
0.052546192,0.33333334,0.0,0.117674254,0.45,0.0,0.0,0.775,0.9814815,1.0,1.0,0.93939394,0.46969697,1.0,0.44186047,0.37209302,0.0,0.053675212,0.0,0.0,0
0.001462667,0.5925926,0.0,0.010197339,0.5,7e-06,0.0,0.6,0.9814815,1.0,1.0,0.93939394,0.42424244,1.0,0.4651163,0.39534885,0.1764706,0.074831866,0.0,0.0,0
0.001218282,0.7407407,0.034933753,0.00882139,0.8,0.149601,0.0,0.7,0.9814815,1.0,1.0,0.90909094,0.4060606,1.0,0.4883721,0.44186047,0.1764706,0.07478903,0.0,0.0,0
0.005959403,0.7407407,0.18801227,0.2041261,0.6,0.11303,0.0,0.65,0.962963,1.0,1.0,0.969697,0.3242424,1.0,0.44186047,0.44186047,0.0,0.07561177,0.0,0.0,0
0.004278634,0.33333334,0.0,0.01086299,0.5,0.006837,0.0,0.45,0.9814815,0.9767442,0.6617647,0.7878788,0.4060606,1.0,0.39534885,0.41860464,0.0,0.114169136,0.0,0.0,0
0.003808509,0.33333334,0.0,0.009462058,0.55,1.4e-05,0.0,0.35,0.962963,0.95348835,0.5735294,0.75757575,0.42424244,1.0,0.44186047,0.41860464,0.0,0.11412018,0.0,0.0,0
0.009562057,0.7037037,0.072865956,0.3241205,0.5,0.01584,0.0,0.725,0.9814815,1.0,1.0,1.0,0.37575758,1.0,0.44186047,0.41860464,0.0,0.07569466,0.0,0.0,0
