traffic_type,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ue_id,timestamp,cellid,in_sync,idx
0,0.009799028,0.37037037,0.0,0.325183081,0.55,7.1e-05,0,0.575,0.981481481,1.0,1.0,0.96969697,0.375757576,1.0,0.488372093,0.406976744,0.0,0.075723284,0,0,4466
0,0.010080476,0.333333333,0.0,0.326805833,0.45,0.0,0,0.725,0.981481481,1.0,1.0,0.96969697,0.46969697,1.0,0.441860465,0.372093023,0.0,0.075831461,0,0,4961
0,0.01672301,0.333333333,0.0,0.421836697,0.45,0.0,0,0.625,0.981481481,1.0,1.0,0.878787879,0.424242424,1.0,0.534883721,0.744186047,0.0,0.07376832,0,0,24592
0,0.136236564,0.222222222,0.947825165,0.160017668,0.3,1.0,0,0.35,0.962962963,1.0,0.808823529,0.666666667,0.924242424,0.0,0.0,0.046511628,0.058823529,0.999882516,0,0,44050
0,0.05249774,0.333333333,0.0,0.117488929,0.45,0.0,0,0.75,0.981481481,1.0,1.0,0.96969697,0.46969697,1.0,0.395348837,0.720930233,0.0,0.053572063,0,0,27902
0,0.006899038,0.666666667,0.051785886,0.002997249,0.4,0.12138,0,0.575,0.981481481,1.0,1.0,0.909090909,0.496969697,1.0,0.418604651,0.302325581,1.0,0.999997378,0,0,45207
0,0.015092831,0.37037037,0.0,0.442752918,0.45,0.0,0,0.85,0.981481481,1.0,1.0,0.939393939,0.363636364,1.0,0.441860465,0.488372093,0.058823529,2.62e-06,0,0,15045
0,0.007587584,0.814814815,0.110500129,0.180405001,0.75,0.116538,0,0.525,0.962962963,1.0,0.985294118,0.818181818,0.354545455,1.0,0.488372093,0.430232558,0.058823529,0.056270713,0,0,23381
0,0.015161692,0.333333333,0.0,0.443117594,0.45,0.0,0,0.8,0.981481481,1.0,1.0,0.939393939,0.445454545,1.0,0.441860465,0.73255814,0.058823529,1.4e-05,0,0,15097
0,0.052484798,0.333333333,0.0,0.117439486,0.45,0.0,0,0.775,0.981481481,1.0,1.0,1.0,0.46969697,1.0,0.395348837,0.395348837,0.0,0.053544527,0,0,27776
0,0.004369559,0.333333333,2.53e-05,0.011178382,0.45,0.0,0,0.475,0.981481481,0.976744186,0.588235294,0.727272727,0.406060606,1.0,0.418604651,0.441860465,0.0,0.11417984,0,0,27500
0,0.052534512,0.333333333,0.0,0.117629483,0.45,0.0,0,0.75,0.981481481,1.0,1.0,0.848484848,0.445454545,1.0,0.488372093,0.38372093,0.0,0.0536503,0,0,28260
0,0.002770499,0.37037037,0.0,0.006736165,0.75,0.000503,0,0.425,0.981481481,0.976744186,0.735294118,0.787878788,0.445454545,1.0,0.372093023,0.73255814,0.0,0.114027956,0,0,26805
0,0.009630852,0.37037037,0.0,0.32442819,0.5,0.0,0,0.7,0.981481481,1.0,1.0,0.96969697,0.445454545,1.0,0.418604651,0.406976744,0.0,0.075703179,0,0,4374
0,0.015692894,0.333333333,0.0,0.446256572,0.45,0.0,0,0.8,0.981481481,1.0,1.0,0.909090909,0.424242424,1.0,0.441860465,0.744186047,0.058823529,0.000182917,0,0,15870
0,0.033710636,0.333333333,0.0,0.95447459,0.5,0.0,0,0.725,0.981481481,1.0,1.0,0.848484848,0.390909091,1.0,0.441860465,0.441860465,0.058823529,0.000699405,0,0,3260
0,0.004283258,0.407407407,0.0,0.010879857,0.6,0.054681,0,0.425,0.981481481,0.976744186,0.632352941,0.757575758,0.375757576,1.0,0.465116279,0.779069767,0.0,0.114169569,0,0,27453
0,0.004182013,0.333333333,0.0,0.010536795,0.45,0.000952,0,0.45,0.981481481,0.976744186,0.617647059,0.727272727,0.424242424,1.0,0.488372093,0.744186047,0.0,0.114157986,0,0,27400
0,0.001835192,0.333333333,0.0,0.012423286,0.5,4.2e-05,0,0.675,0.981481481,1.0,1.0,0.96969697,0.424242424,1.0,0.441860465,0.418604651,0.176470588,0.074901579,0,0,22331
0,0.004118023,0.62962963,0.0,0.01033669,0.6,0.019705,0,0.425,0.981481481,0.976744186,0.617647059,0.757575758,0.363636364,1.0,0.418604651,0.441860465,0.0,0.114150775,0,0,27367
0,0.033724474,0.333333333,0.0,0.954541825,0.45,0.0,0,0.75,0.981481481,1.0,1.0,0.939393939,0.46969697,1.0,0.418604651,0.709302326,0.058823529,0.000722133,0,0,3364
0,0.016199116,0.777777778,0.05577843,0.332873549,0.65,0.054136,0,0.575,0.962962963,1.0,1.0,0.909090909,0.333333333,1.0,0.348837209,0.430232558,0.117647059,0.074707873,0,0,21519
0,0.052535823,0.333333333,0.0,0.117634572,0.45,0.0,0,0.8,0.981481481,1.0,1.0,0.878787879,0.496969697,1.0,0.441860465,0.337209302,0.0,0.053653141,0,0,28273
0,0.015135142,0.444444444,0.0,0.442981529,0.9,0.046667,0,0.825,0.981481481,1.0,1.0,0.96969697,0.424242424,1.0,0.418604651,0.406976744,0.058823529,9.62e-06,0,0,15077
0,0.052528333,0.333333333,0.0,0.117605931,0.45,0.0,0,0.725,0.981481481,1.0,1.0,0.878787879,0.445454545,1.0,0.395348837,0.73255814,0.0,0.053637187,0,0,28200
0,0.00380471,0.37037037,0.0,0.015158655,0.5,0.07968,0,0.65,0.981481481,0.976744186,0.617647059,0.515151515,0.257575758,1.0,0.418604651,0.5,0.823529412,0.999826133,0,0,43484
0,0.010051579,0.333333333,0.0,0.326708019,0.45,0.0,0,0.625,0.981481481,1.0,1.0,0.96969697,0.363636364,1.0,0.465116279,0.453488372,0.0,0.075776608,0,0,4710
0,0.052519688,0.333333333,0.0,0.117572943,0.45,0.0,0,0.75,0.981481481,1.0,1.0,0.909090909,0.445454545,1.0,0.418604651,0.73255814,0.0,0.05361883,0,0,28116
0,0.003693354,0.333333333,0.0,0.014436376,0.45,0.123246,0,0.55,0.981481481,0.976744186,0.75,0.606060606,0.354545455,1.0,0.441860465,0.465116279,0.823529412,0.999802749,0,0,43270
0,0.052478093,0.333333333,0.0,0.117413974,0.45,0.0,0,0.75,0.981481481,1.0,1.0,1.0,0.445454545,1.0,0.395348837,0.372093023,0.0,0.053530322,0,0,27711
0,0.006573813,0.333333333,0.0,0.016942552,0.35,0.0,0,0.5,0.981481481,1.0,1.0,0.848484848,0.445454545,1.0,0.441860465,0.720930233,0.058823529,0.055185499,0,0,26476
0,0.13642912,0.222222222,0.906244917,0.160027007,0.3,1.0,0,0.35,0.962962963,1.0,0.808823529,0.666666667,0.921212121,0.0,0.0,0.034883721,0.058823529,0.999910707,0,0,44437
0,0.015080529,0.37037037,0.0,0.018327081,0.5,0.055574,0,0.725,0.981481481,0.976744186,0.705882353,0.575757576,0.536363636,1.0,0.465116279,0.290697674,0.823529412,0.999922727,0,0,44603
0,0.016048457,0.814814815,0.084170754,0.327149304,0.6,0.05902,0,0.6,0.962962963,1.0,1.0,0.939393939,0.324242424,1.0,0.441860465,0.441860465,0.117647059,0.07470394,0,0,21501
0,0.016003552,0.666666667,0.112690371,0.417814011,0.45,0.035593,0,0.5,0.981481481,1.0,0.882352941,0.878787879,0.293939394,1.0,0.488372093,0.5,0.0,0.073627144,0,0,23946
0,0.015945014,0.37037037,0.0104087,0.018562502,0.5,0.033568,0,0.625,0.981481481,0.976744186,0.676470588,0.666666667,0.284848485,1.0,0.465116279,0.5,0.823529412,0.999929939,0,0,44702
0,0.006585284,0.333333333,0.0,0.016975266,0.3,0.158653,0,0.35,0.981481481,1.0,1.0,0.848484848,0.324242424,1.0,0.395348837,0.465116279,0.058823529,0.05520932,0,0,26585
0,0.136117538,0.222222222,0.890124211,0.160011736,0.3,1.0,0,0.35,0.962962963,1.0,0.808823529,0.666666667,0.924242424,0.0,0.0,0.023255814,0.058823529,0.999865251,0,0,43841
0,0.001081827,0.407407407,0.0,0.000987862,0.7,0.031617,0,0.5,0.962962963,0.976744186,0.735294118,0.545454545,0.390909091,1.0,0.488372093,0.511627907,1.0,0.999887105,0,0,44115
0,0.005557753,0.37037037,0.022270153,0.016076184,0.45,0.103162,0,0.5,1.0,0.976744186,0.661764706,0.606060606,0.324242424,1.0,0.720930233,0.465116279,0.823529412,0.999852576,0,0,43726
0,0.006899038,0.666666667,0.051785886,0.002997249,0.4,0.12138,0,0.575,0.981481481,1.0,0.882352941,0.636363636,0.496969697,1.0,0.418604651,0.302325581,1.0,0.999990166,0,0,45108
0,0.008074351,0.37037037,0.0,0.197026865,0.7,0.069577,0,0.45,0.962962963,1.0,0.955882353,0.727272727,0.354545455,1.0,0.488372093,0.5,0.058823529,0.056291037,0,0,23474
0,0.00154168,0.518518519,0.0,0.0105715,0.45,0.006373,0,0.7,0.981481481,1.0,0.985294118,0.96969697,0.424242424,1.0,0.418604651,0.38372093,0.176470588,0.074843447,0,0,22065
0,0.015587307,0.333333333,0.0,0.44567214,0.5,0.0,0,0.775,0.981481481,1.0,1.0,0.909090909,0.375757576,1.0,0.465116279,0.465116279,0.058823529,9.55e-05,0,0,15470
0,0.004572419,0.555555556,1.01e-06,0.001791598,0.7,0.055185,0,0.425,0.962962963,0.976744186,0.691176471,0.666666667,0.354545455,1.0,0.465116279,0.476744186,1.0,0.999908522,0,0,44409
0,0.134229449,0.888888889,0.036046048,0.157583248,0.65,0.059367,0,0.575,0.962962963,1.0,0.955882353,0.878787879,0.390909091,1.0,0.395348837,0.441860465,0.058823529,0.99979073,0,0,43159
0,0.033741763,0.333333333,0.0,0.954607365,0.45,0.0,0,0.775,0.981481481,1.0,1.0,0.909090909,0.46969697,1.0,0.511627907,0.720930233,0.058823529,0.000758629,0,0,3531
0,0.017151034,0.62962963,0.056882643,0.018992866,0.5,0.075852,0,0.55,0.981481481,0.976744186,0.602941176,0.787878788,0.354545455,1.0,0.488372093,0.406976744,0.823529412,0.999988199,0,0,45080
0,0.025111947,0.814814815,0.136861832,0.924233008,0.55,0.128166,0,0.65,0.962962963,1.0,0.985294118,0.878787879,0.333333333,1.0,0.511627907,0.441860465,0.058823529,0.000579209,0,0,2710
0,0.00174314,0.407407407,0.0,0.011796022,0.55,0.00124,0,0.65,0.981481481,1.0,1.0,0.909090909,0.363636364,1.0,0.488372093,0.465116279,0.176470588,0.074881254,0,0,22238
0,0.000709785,0.481481481,0.002232673,0.006857999,0.5,1e-06,0,0.65,0.981481481,1.0,1.0,0.939393939,0.496969697,1.0,0.465116279,0.348837209,0.176470588,0.074731118,0,0,21551
0,0.009533205,0.407407407,0.001338593,0.323990928,0.7,0.013298,0,0.65,0.981481481,1.0,1.0,0.96969697,0.445454545,1.0,0.418604651,0.73255814,0.0,0.075692689,0,0,4326
0,0.003409089,0.555555556,0.0,0.008277765,0.7,0.014197,0,0.475,0.981481481,0.976744186,0.632352941,0.727272727,0.406060606,1.0,0.395348837,0.418604651,0.0,0.114079531,0,0,27041
0,0.134715642,0.851851852,0.096879815,0.158295981,0.7,0.114337,0,0.6,0.962962963,1.0,0.911764706,0.878787879,0.375757576,1.0,0.418604651,0.441860465,0.058823529,0.99981018,0,0,43337
0,0.000913873,0.37037037,0.0,0.007614109,0.55,0.000576,0,0.7,0.981481481,1.0,0.985294118,0.939393939,0.424242424,1.0,0.395348837,0.372093023,0.176470588,0.074752098,0,0,21647
0,0.004211238,0.444444444,0.0,0.010651395,0.45,0.036092,0,0.525,0.981481481,0.953488372,0.573529412,0.727272727,0.424242424,1.0,0.441860465,0.372093023,0.0,0.114162139,0,0,27419
