model,class,accuracy,precision,recall,f1
XGBoost,0,1.0,1.0,1.0,1.0
XGBoost,1,0.0341769693831316,0.06906474820143885,0.0341769693831316,0.04572616263964666
XGBoost,2,1.0,0.38854656573023816,1.0,0.5596449918493026
XGBoost,3,0.4504498673053272,1.0,0.4504498673053272,0.6211174580506962
XGBoost,4,0.2095928539064017,0.4843679880329095,0.2095928539064017,0.29258154874853165
XGBoost,5,0.9408375946663214,0.8974992281568386,0.9408375946663214,0.9186575654152446
Random Forest,0,1.0,0.8914084588309965,1.0,0.9425869432580842
Random Forest,1,0.0339180529484109,0.07273736812881733,0.0339180529484109,0.046263188098706574
Random Forest,2,0.9991585215871578,0.36398792680626296,0.9991585215871578,0.5335914409665209
Random Forest,3,0.4253997022461001,1.0,0.4253997022461001,0.5968847917896554
Random Forest,4,0.10796815327852935,0.4223854140288681,0.10796815327852935,0.17197649242189916
Random Forest,5,0.9203184672147064,0.9335521996060407,0.9203184672147064,0.9268880993513479
Bi-LSTM,0,0.9995352356247298,0.9984440842787682,0.9987678339818418,0.9986059328902578
Bi-LSTM,1,0.4345006485084306,0.9332776152667502,0.4345006485084306,0.5929465905571043
Bi-LSTM,2,0.9986381322957198,0.6996365288505225,0.9986381322957198,0.8228159230563719
Bi-LSTM,3,0.7795719844357977,0.9910140148392416,0.7795719844357977,0.8726678765880218
Bi-LSTM,4,0.9998702983138781,0.920587532839742,0.999870298313878,0.958592389952748
Bi-LSTM,5,0.9621271076523995,0.7796930838763927,0.9621271076523996,0.8613562470970738
LSTM,0,0.9999352331606217,0.8868401401573899,0.9999352331606216,0.9399981734603792
LSTM,1,0.02733160621761658,0.383985441310282,0.0273316062176165,0.0510308966684805
LSTM,2,0.9987046632124352,0.5336378737541528,0.9987046632124352,0.6955972573078311
LSTM,3,0.4351036269430052,0.999702380952381,0.4351036269430052,0.6063176895306859
LSTM,4,0.9365284974093264,0.8268999828443987,0.9365284974093264,0.8783065569289641
LSTM,5,0.9444300518134715,0.6934233677302772,0.9444300518134716,0.7996928898516549
TCN,0,0.9999352331606217,0.9006533660016334,0.9999352331606216,0.9477011847032104
TCN,1,0.03154145077720207,0.1345303867403315,0.031541450777202,0.0511017838405036
TCN,2,0.9996761658031088,0.5577034253504842,0.9996761658031088,0.7159755079320902
TCN,3,0.45278497409326424,1.0,0.4527849740932642,0.6233337791449334
TCN,4,0.9992875647668393,0.8312143088029307,0.9992875647668392,0.907534850891124
TCN,5,0.9323186528497409,0.7718912542227465,0.9323186528497408,0.8445539616885213
Transformer,0,0.997020725388601,0.8906503124276788,0.997020725388601,0.9408385282972742
Transformer,1,0.01483160621761658,0.047978210768908444,0.01483160621761658,0.022658685004699947
Transformer,2,0.9998704663212435,0.45791066025983274,0.9998704663212435,0.6281482687065142
Transformer,3,0.4322538860103627,1.0,0.4322538860103627,0.6035995297096862
Transformer,4,0.8371761658031088,0.8924330295498482,0.8371761658031088,0.863921935570111
Transformer,5,0.9215673575129534,0.9056711857933931,0.9215673575129534,0.9135501268017078
