model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
autoencoder-cu,CU,100,43.533,44.741,44.91,2297.13,0.77,0.813008,0.704225,0.961538
autoencoder-cu,CU,200,44.743,46.025,46.48,4469.96,0.77,0.816,0.69863,0.980769
autoencoder-cu,CU,300,45.926,47.244,47.999,6532.23,0.773333,0.818182,0.701835,0.980769
autoencoder-cu,CU,400,6.158,6.355,8.359,64952.44,0.7725,0.821918,0.704698,0.985915
autoencoder-cu,CU,500,12.74,47.419,48.509,39246.39,0.792,0.833333,0.720222,0.988593
autoencoder-cu,CU,600,24.422,49.069,49.22,24568.14,0.791667,0.831763,0.716937,0.990385
autoencoder-cu,CU,700,20.707,49.824,50.313,33804.87,0.794286,0.83524,0.721344,0.991848
autoencoder-cu,CU,800,26.739,51.033,51.778,29918.87,0.78625,0.827795,0.709845,0.992754
autoencoder-cu,CU,900,19.586,51.685,52.958,45950.57,0.787778,0.827149,0.708527,0.993478
autoencoder-cu,CU,1000,20.466,52.982,53.519,48860.53,0.791,0.828548,0.710267,0.994094
autoencoder-cu,CU,1100,25.871,54.093,55.574,42519.21,0.786364,0.822642,0.701416,0.994526
autoencoder-cu,CU,1200,21.408,54.681,55.066,56052.82,0.793333,0.829201,0.710744,0.995041
autoencoder-cu,CU,1300,29.531,55.695,57.081,44020.88,0.797692,0.834279,0.718004,0.995489
autoencoder-cu,CU,1400,38.608,57.546,58.473,36262.0,0.792857,0.829812,0.711268,0.995775
autoencoder-cu,CU,1500,33.833,57.49,58.465,44335.01,0.792,0.829322,0.710403,0.996058
autoencoder-cu,CU,1600,40.281,59.519,59.87,39720.89,0.7875,0.826884,0.707317,0.995098
autoencoder-cu,CU,1700,36.258,59.947,60.525,46886.32,0.787647,0.826692,0.706897,0.995376
autoencoder-cu,CU,1800,38.824,60.967,61.932,46363.46,0.786667,0.824977,0.70428,0.9956
autoencoder-cu,CU,1900,42.308,62.814,63.868,44909.28,0.789474,0.82684,0.706884,0.995829
autoencoder-cu,CU,2000,45.558,63.53,64.951,43899.7,0.79,0.826015,0.706091,0.99501
autoencoder-cu,CU,2100,43.653,64.462,66.209,48106.22,0.790952,0.82764,0.708333,0.995279
autoencoder-cu,CU,2200,47.36,64.773,65.916,46453.15,0.790455,0.828433,0.709369,0.995528
autoencoder-cu,CU,2300,46.106,66.055,66.798,49885.2,0.79087,0.828276,0.709046,0.995708
autoencoder-cu,CU,2400,47.976,67.906,69.215,50025.02,0.790417,0.82685,0.706886,0.995854
autoencoder-cu,CU,2500,44.287,68.631,69.689,56449.99,0.788,0.824271,0.703452,0.995196
autoencoder-cu,CU,2600,46.482,69.014,69.963,55935.07,0.786923,0.823791,0.702659,0.995388
autoencoder-cu,CU,2700,48.504,69.999,71.139,55665.6,0.787407,0.823818,0.702618,0.995549
autoencoder-cu,CU,2800,45.072,70.737,71.431,62123.39,0.789643,0.825997,0.705704,0.995726
autoencoder-cu,CU,2900,50.933,72.866,75.091,56937.77,0.79069,0.827115,0.707258,0.995885
autoencoder-cu,CU,3000,52.396,73.413,75.783,57256.37,0.790667,0.826902,0.70688,0.996016
autoencoder-cu,CU,3100,53.833,74.361,75.232,57585.87,0.79129,0.827236,0.707306,0.996141
autoencoder-cu,CU,3200,54.781,75.06,77.029,58414.6,0.7925,0.827353,0.707426,0.996243
autoencoder-cu,CU,3300,52.192,75.695,77.096,63228.33,0.793636,0.828334,0.708801,0.996361
autoencoder-cu,CU,3400,57.618,77.884,79.025,59008.94,0.795294,0.829912,0.711055,0.996479
autoencoder-cu,CU,3500,58.129,79.148,83.11,60211.19,0.795143,0.829732,0.71074,0.996577
autoencoder-cu,CU,3600,59.147,79.382,80.248,60865.59,0.796389,0.830677,0.712079,0.996674
autoencoder-cu,CU,3700,59.46,80.025,83.906,62226.95,0.797297,0.831536,0.713295,0.996769
autoencoder-cu,CU,3800,61.067,80.431,81.916,62226.31,0.796579,0.830816,0.712195,0.996849
autoencoder-cu,CU,3900,63.352,82.753,84.008,61560.64,0.797179,0.831451,0.713085,0.996934
autoencoder-cu,CU,4000,58.823,82.727,86.318,68001.19,0.79675,0.830731,0.711991,0.997001
autoencoder-cu,CU,4100,64.316,84.493,86.41,63747.25,0.795854,0.829636,0.710352,0.997065
autoencoder-cu,CU,4200,62.522,85.013,86.912,67176.27,0.79619,0.830091,0.710983,0.997139
autoencoder-cu,CU,4300,65.052,87.218,89.72,66101.29,0.796047,0.830531,0.711589,0.997216
autoencoder-cu,CU,4400,64.758,87.973,89.299,67945.29,0.794545,0.829112,0.709479,0.997271
autoencoder-cu,CU,4500,66.739,89.657,91.164,67427.15,0.793778,0.829161,0.709515,0.997343
autoencoder-cu,CU,4600,68.839,90.767,92.642,66822.82,0.794565,0.830067,0.71081,0.997407
autoencoder-cu,CU,4700,69.455,90.475,92.162,67669.37,0.795532,0.831078,0.712263,0.997468
autoencoder-cu,CU,4800,68.733,90.631,93.959,69835.32,0.795,0.830753,0.71176,0.997522
autoencoder-cu,CU,4900,69.771,92.611,94.502,70230.09,0.793673,0.829482,0.709873,0.997566
autoencoder-cu,CU,5000,70.643,93.568,94.812,70778.86,0.793,0.828954,0.709075,0.997613
autoencoder-cu,CU,5100,74.401,96.002,99.047,68547.16,0.792549,0.828358,0.708183,0.997655
autoencoder-cu,CU,5200,72.451,96.989,99.739,71772.55,0.793654,0.829113,0.709264,0.9977
autoencoder-cu,CU,5300,72.341,97.8,100.44,73263.98,0.793019,0.828245,0.707976,0.997737
autoencoder-cu,CU,5400,76.494,100.026,101.301,70593.84,0.792778,0.828348,0.70829,0.997414
autoencoder-cu,CU,5500,77.834,100.4,101.143,70663.61,0.792727,0.828158,0.70799,0.997458
autoencoder-cu,CU,5600,73.819,100.034,101.414,75861.11,0.791607,0.827239,0.706626,0.997501
autoencoder-cu,CU,5700,78.803,101.015,102.227,72331.97,0.791404,0.827004,0.706262,0.997543
autoencoder-cu,CU,5800,75.368,102.551,103.441,76956.16,0.792241,0.827833,0.707448,0.99759
autoencoder-cu,CU,5900,79.428,104.122,106.084,74280.7,0.792373,0.827974,0.707633,0.997631
autoencoder-cu,CU,6000,76.628,103.15,104.795,78300.44,0.7915,0.826995,0.706188,0.997664
autoencoder-cu,CU,6100,77.785,104.434,105.391,78421.12,0.791311,0.826968,0.706128,0.997704
autoencoder-cu,CU,6200,75.99,105.038,105.621,81590.15,0.790968,0.826784,0.705842,0.997742
autoencoder-cu,CU,6300,73.817,103.861,105.289,85346.75,0.790794,0.826396,0.705261,0.997774
autoencoder-cu,CU,6400,71.994,104.534,106.113,88896.02,0.790625,0.826155,0.704893,0.997806
autoencoder-cu,CU,6500,69.717,76.417,105.39,93233.61,0.79,0.825782,0.704333,0.997841
autoencoder-cu,CU,6600,70.249,75.335,106.412,93951.67,0.790303,0.826131,0.704823,0.997876
autoencoder-cu,CU,6700,69.287,73.675,79.723,96698.6,0.789851,0.82557,0.703993,0.997904
autoencoder-cu,CU,6800,70.997,76.464,79.206,95779.25,0.79,0.826066,0.704697,0.99794
autoencoder-cu,CU,6900,71.559,76.645,78.544,96424.41,0.79058,0.826593,0.705449,0.997972
autoencoder-cu,CU,7000,71.743,75.192,77.957,97569.98,0.790286,0.826601,0.705444,0.998003
autoencoder-cu,CU,7100,73.759,79.472,81.646,96259.98,0.790141,0.826219,0.704876,0.998028
autoencoder-cu,CU,7200,74.428,78.595,109.519,96737.64,0.790694,0.826602,0.70542,0.998055
autoencoder-cu,CU,7300,74.625,79.214,79.852,97822.47,0.791233,0.826897,0.705837,0.998081
autoencoder-cu,CU,7400,75.99,82.105,84.423,97381.12,0.791081,0.82672,0.705567,0.998106
autoencoder-cu,CU,7500,77.325,82.651,84.855,96993.37,0.7904,0.826106,0.704661,0.998129
autoencoder-cu,CU,7600,77.7,82.256,83.384,97812.17,0.790789,0.826343,0.704994,0.998153
autoencoder-cu,CU,7700,80.883,86.852,119.426,95198.91,0.790649,0.826106,0.704637,0.998175
autoencoder-cu,CU,7800,81.843,87.164,118.581,95304.15,0.790769,0.826124,0.704653,0.998198
autoencoder-cu,CU,7900,81.288,85.925,88.633,97184.72,0.790633,0.826151,0.70468,0.998222
autoencoder-cu,CU,8000,81.904,86.555,87.852,97675.53,0.791375,0.826453,0.70511,0.998242
autoencoder-cu,CU,8100,83.751,90.578,92.154,96715.4,0.790988,0.826091,0.704697,0.998014
autoencoder-cu,CU,8200,84.553,90.0,95.075,96981.15,0.791098,0.826356,0.70519,0.997797
autoencoder-cu,CU,8300,85.033,89.274,93.064,97609.49,0.791084,0.826426,0.7054,0.997583
autoencoder-cu,CU,8400,86.687,91.149,92.494,96900.54,0.790595,0.825893,0.704611,0.997609
autoencoder-cu,CU,8500,87.69,91.951,96.133,96932.44,0.790471,0.825785,0.704439,0.997636
autoencoder-cu,CU,8600,88.451,93.691,96.236,97228.63,0.790465,0.825826,0.704485,0.997665
autoencoder-cu,CU,8700,89.072,92.986,94.028,97673.57,0.79046,0.825667,0.704241,0.997689
autoencoder-cu,CU,8800,89.55,94.885,96.349,98269.59,0.790227,0.825487,0.703966,0.997715
autoencoder-cu,CU,8900,90.969,97.074,103.706,97835.17,0.790337,0.825575,0.704082,0.997741
autoencoder-cu,CU,9000,92.285,97.65,99.54,97523.88,0.790778,0.825826,0.704434,0.997765
autoencoder-cu,CU,9100,93.616,98.349,100.64,97205.96,0.78989,0.824973,0.703184,0.997786
autoencoder-cu,CU,9200,94.585,98.618,102.393,97266.67,0.789565,0.82486,0.703007,0.997811
autoencoder-cu,CU,9300,95.404,99.729,104.408,97480.28,0.789677,0.824951,0.703127,0.997835
autoencoder-cu,CU,9400,96.498,103.317,104.45,97411.69,0.789362,0.824499,0.702462,0.997855
autoencoder-cu,CU,9500,98.106,103.2,104.775,96833.73,0.788842,0.824189,0.702001,0.997878
autoencoder-cu,CU,9600,100.134,106.165,134.687,95871.98,0.789062,0.824234,0.702055,0.997898
autoencoder-cu,CU,9700,100.411,105.271,106.717,96602.9,0.79,0.824985,0.703134,0.997921
autoencoder-cu,CU,9800,100.223,105.744,106.972,97782.3,0.789796,0.82483,0.702899,0.997942
autoencoder-cu,CU,9900,101.468,107.507,110.235,97567.36,0.789697,0.824806,0.702854,0.997964
autoencoder-cu,CU,10000,102.713,108.004,112.884,97359.07,0.7897,0.824998,0.703121,0.997987
autoencoder-cu,CU,10100,103.789,110.363,112.259,97313.13,0.789505,0.824876,0.702934,0.998007
autoencoder-cu,CU,10200,104.092,110.203,113.061,97990.14,0.789804,0.824951,0.703034,0.998024
autoencoder-cu,CU,10300,106.124,113.202,115.33,97056.51,0.790097,0.825081,0.703213,0.998043
autoencoder-cu,CU,10400,106.811,113.069,114.573,97368.21,0.789615,0.824708,0.702758,0.997867
autoencoder-cu,CU,10500,107.085,112.505,120.812,98053.07,0.789143,0.824286,0.702136,0.997886
autoencoder-cu,CU,10600,107.419,113.943,115.877,98679.01,0.78934,0.824408,0.702304,0.997906
autoencoder-cu,CU,10700,108.403,113.721,118.829,98705.79,0.789159,0.824162,0.701938,0.997924
autoencoder-cu,CU,10800,109.743,116.708,120.219,98411.53,0.788519,0.823765,0.701353,0.997944
autoencoder-cu,CU,10900,111.593,117.68,120.384,97676.32,0.787706,0.823197,0.70052,0.997962
autoencoder-cu,CU,11000,111.664,117.232,118.667,98509.56,0.787636,0.823218,0.700541,0.997982
autoencoder-cu,CU,11100,113.516,120.301,122.88,97783.96,0.788108,0.823688,0.701213,0.998002
autoencoder-cu,CU,11200,114.396,121.507,122.989,97905.25,0.788393,0.824001,0.701657,0.998021
autoencoder-cu,CU,11300,115.154,121.372,123.846,98129.73,0.78823,0.823902,0.701504,0.998039
autoencoder-cu,CU,11400,115.785,122.837,127.576,98458.69,0.788333,0.824292,0.702146,0.997884
autoencoder-cu,CU,11500,116.767,123.986,125.344,98486.54,0.788261,0.8242,0.702005,0.997902
autoencoder-cu,CU,11600,117.022,124.226,126.999,99126.84,0.788621,0.824481,0.702403,0.997921
autoencoder-cu,CU,11700,119.496,127.445,130.142,97911.14,0.788462,0.824331,0.702177,0.997938
autoencoder-cu,CU,11800,119.331,124.669,126.231,98884.57,0.787881,0.823844,0.701462,0.997954
