model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
autoencoder-cu,CU,100,43.828,45.083,45.355,2281.63,0.77,0.813008,0.704225,0.961538
autoencoder-cu,CU,200,44.754,45.743,46.143,4468.87,0.79,0.829268,0.71831,0.980769
autoencoder-cu,CU,300,45.953,47.336,47.674,6528.38,0.793333,0.831522,0.721698,0.980769
autoencoder-cu,CU,400,7.102,7.48,46.281,56322.09,0.79,0.832669,0.723183,0.981221
autoencoder-cu,CU,500,18.832,48.62,49.279,26550.69,0.812,0.846405,0.74212,0.984791
autoencoder-cu,CU,600,22.99,49.655,50.311,26098.56,0.813333,0.846154,0.740385,0.987179
autoencoder-cu,CU,700,22.908,50.452,50.912,30556.4,0.817143,0.850467,0.745902,0.98913
autoencoder-cu,CU,800,23.639,51.447,52.989,33842.03,0.81125,0.84449,0.736086,0.990338
autoencoder-cu,CU,900,19.89,52.315,52.958,45249.71,0.81,0.842105,0.731942,0.991304
autoencoder-cu,CU,1000,22.377,52.994,53.216,44688.88,0.814,0.844221,0.734694,0.992126
autoencoder-cu,CU,1100,26.93,54.385,55.431,40846.39,0.810909,0.839506,0.727273,0.992701
autoencoder-cu,CU,1200,24.789,55.784,56.852,48409.24,0.8175,0.845883,0.73652,0.993388
autoencoder-cu,CU,1300,25.196,55.744,56.927,51594.86,0.821538,0.850708,0.743532,0.993985
autoencoder-cu,CU,1400,30.435,57.683,59.541,45999.05,0.818571,0.847539,0.738494,0.994366
autoencoder-cu,CU,1500,36.972,59.336,60.37,40571.16,0.819333,0.848179,0.739258,0.994744
autoencoder-cu,CU,1600,37.705,59.931,60.172,42434.18,0.81625,0.846555,0.737273,0.993873
autoencoder-cu,CU,1700,36.411,60.739,61.416,46688.74,0.815882,0.84604,0.736301,0.99422
autoencoder-cu,CU,1800,39.48,62.307,63.548,45592.58,0.815,0.844465,0.733766,0.994499
autoencoder-cu,CU,1900,44.157,63.772,65.157,43028.76,0.818421,0.846871,0.737249,0.994786
autoencoder-cu,CU,2000,39.602,65.711,67.427,50503.1,0.819,0.846219,0.736686,0.994012
autoencoder-cu,CU,2100,45.846,65.146,65.785,45805.45,0.82,0.847826,0.738947,0.994334
autoencoder-cu,CU,2200,48.085,65.612,67.037,45752.32,0.819091,0.848207,0.739362,0.994633
autoencoder-cu,CU,2300,48.699,67.044,67.814,47229.32,0.81913,0.847842,0.738687,0.99485
