model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
cnn-cu,CU,100,1.954,2.28,2.749,51164.05,0.93,0.933333,0.924528,0.942308
cnn-cu,CU,200,2.744,3.216,4.337,72875.89,0.93,0.932039,0.941176,0.923077
cnn-cu,CU,300,3.398,3.861,3.998,88298.19,0.94,0.942308,0.942308,0.942308
cnn-cu,CU,400,4.203,4.788,5.045,95180.52,0.9375,0.941725,0.935185,0.948357
cnn-cu,CU,500,4.758,5.531,5.928,105095.84,0.944,0.94697,0.943396,0.95057
cnn-cu,CU,600,5.399,6.177,8.155,111139.74,0.945,0.947368,0.942857,0.951923
cnn-cu,CU,700,5.983,6.518,7.62,117005.56,0.947143,0.949796,0.948509,0.951087
cnn-cu,CU,800,6.48,7.792,8.62,123457.79,0.945,0.94686,0.94686,0.94686
cnn-cu,CU,900,6.854,7.349,7.46,131300.85,0.944444,0.945887,0.94181,0.95
cnn-cu,CU,1000,7.813,8.656,9.383,127999.18,0.947,0.947886,0.946955,0.948819
cnn-cu,CU,1100,8.367,10.013,10.984,131471.99,0.946364,0.946217,0.945355,0.94708
cnn-cu,CU,1200,50.21,51.57,52.344,23899.82,0.948333,0.94876,0.94876,0.94876
cnn-cu,CU,1300,51.355,53.032,53.544,25313.93,0.947692,0.948795,0.950226,0.947368
cnn-cu,CU,1400,51.765,53.012,53.663,27045.56,0.948571,0.949081,0.953125,0.94507
cnn-cu,CU,1500,52.674,54.813,55.64,28476.93,0.951333,0.951815,0.956233,0.947438
cnn-cu,CU,1600,52.799,54.632,55.136,30303.46,0.95,0.95092,0.952088,0.949755
cnn-cu,CU,1700,53.704,55.598,56.389,31654.71,0.951765,0.952601,0.952601,0.952601
cnn-cu,CU,1800,54.096,55.575,56.056,33273.91,0.952222,0.952799,0.950712,0.954895
cnn-cu,CU,1900,55.182,57.94,58.621,34431.6,0.952632,0.953174,0.951194,0.955162
cnn-cu,CU,2000,55.801,57.553,59.824,35841.44,0.9525,0.952618,0.952144,0.953094
cnn-cu,CU,2100,55.572,57.051,58.137,37788.66,0.952857,0.953236,0.953686,0.952786
cnn-cu,CU,2200,57.319,59.146,59.74,38381.36,0.953182,0.953956,0.95353,0.954383
cnn-cu,CU,2300,57.256,59.02,59.674,40170.4,0.953043,0.953648,0.953648,0.953648
cnn-cu,CU,2400,58.128,60.252,61.806,41288.42,0.952917,0.953209,0.952026,0.954395
