model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
cnn-cu,CU,100,2.056,2.809,4.234,48638.57,0.93,0.933333,0.924528,0.942308
cnn-cu,CU,200,2.86,3.37,3.611,69938.27,0.93,0.932039,0.941176,0.923077
cnn-cu,CU,300,3.536,4.287,4.582,84848.24,0.94,0.942308,0.942308,0.942308
cnn-cu,CU,400,4.658,5.639,7.178,85882.11,0.9375,0.941725,0.935185,0.948357
cnn-cu,CU,500,5.309,6.394,7.079,94176.16,0.944,0.94697,0.943396,0.95057
cnn-cu,CU,600,5.994,7.238,7.641,100097.57,0.945,0.947368,0.942857,0.951923
cnn-cu,CU,700,6.244,6.69,7.146,112113.91,0.947143,0.949796,0.948509,0.951087
cnn-cu,CU,800,7.411,8.757,9.447,107946.88,0.945,0.94686,0.94686,0.94686
cnn-cu,CU,900,8.279,9.12,11.314,108710.54,0.944444,0.945887,0.94181,0.95
cnn-cu,CU,1000,8.658,10.15,11.215,115493.55,0.947,0.947886,0.946955,0.948819
cnn-cu,CU,1100,9.205,9.794,10.372,119500.67,0.946364,0.946217,0.945355,0.94708
cnn-cu,CU,1200,51.625,52.774,53.296,23244.6,0.948333,0.94876,0.94876,0.94876
cnn-cu,CU,1300,52.659,54.656,55.429,24687.26,0.947692,0.948795,0.950226,0.947368
cnn-cu,CU,1400,53.486,55.453,56.62,26175.12,0.948571,0.949081,0.953125,0.94507
cnn-cu,CU,1500,54.192,56.178,56.403,27679.38,0.951333,0.951815,0.956233,0.947438
cnn-cu,CU,1600,54.438,56.244,57.71,29391.15,0.950625,0.951504,0.95326,0.949755
cnn-cu,CU,1700,55.349,57.186,58.348,30714.39,0.952353,0.953152,0.953704,0.952601
cnn-cu,CU,1800,55.865,58.227,58.727,32220.47,0.952778,0.953322,0.951754,0.954895
cnn-cu,CU,1900,56.558,57.849,59.588,33593.81,0.953158,0.95367,0.952183,0.955162
cnn-cu,CU,2000,57.545,59.955,61.002,34755.24,0.953,0.953094,0.953094,0.953094
cnn-cu,CU,2100,58.222,60.376,62.515,36069.1,0.953333,0.953686,0.954588,0.952786
cnn-cu,CU,2200,58.472,60.498,61.064,37624.79,0.953636,0.954383,0.954383,0.954383
cnn-cu,CU,2300,59.861,62.212,63.087,38422.08,0.953478,0.954058,0.954467,0.953648
cnn-cu,CU,2400,60.709,62.968,63.483,39532.66,0.953333,0.953604,0.952815,0.954395
cnn-cu,CU,2500,60.206,62.375,63.54,41524.26,0.9536,0.953637,0.952115,0.955164
cnn-cu,CU,2600,61.1,64.569,64.969,42553.05,0.953462,0.953551,0.952454,0.95465
cnn-cu,CU,2700,61.854,65.161,66.305,43651.34,0.953704,0.953721,0.951959,0.95549
cnn-cu,CU,2800,62.299,65.29,66.453,44944.56,0.954643,0.954852,0.953158,0.956553
cnn-cu,CU,2900,63.138,66.03,67.003,45931.23,0.954483,0.954887,0.951635,0.958162
cnn-cu,CU,3000,63.473,66.982,68.03,47263.97,0.955333,0.955659,0.952507,0.958831
cnn-cu,CU,3100,64.318,66.95,68.548,48198.27,0.955806,0.956132,0.952168,0.960129
cnn-cu,CU,3200,64.96,68.654,69.518,49261.38,0.95625,0.956305,0.953329,0.959299
cnn-cu,CU,3300,65.766,69.756,71.283,50177.68,0.956667,0.956785,0.953614,0.959976
cnn-cu,CU,3400,65.328,70.265,72.083,52044.9,0.957353,0.957565,0.95505,0.960094
cnn-cu,CU,3500,66.493,70.368,72.135,52637.5,0.957143,0.957314,0.955139,0.959498
cnn-cu,CU,3600,66.904,71.007,74.119,53808.49,0.956667,0.956858,0.954746,0.95898
cnn-cu,CU,3700,67.357,71.24,72.755,54931.47,0.956216,0.956498,0.953937,0.959074
cnn-cu,CU,3800,67.494,70.897,72.429,56301.08,0.955789,0.956021,0.953027,0.959034
cnn-cu,CU,3900,68.254,73.6,76.022,57139.82,0.956154,0.956455,0.953299,0.959632
cnn-cu,CU,4000,68.708,72.979,74.074,58217.28,0.95525,0.955462,0.951437,0.95952
cnn-cu,CU,4100,69.207,73.04,74.43,59242.75,0.955366,0.95542,0.95148,0.959393
cnn-cu,CU,4200,70.137,74.84,75.699,59882.67,0.95619,0.956315,0.952246,0.96042
cnn-cu,CU,4300,70.633,75.455,76.545,60878.06,0.956512,0.956763,0.953456,0.960093
cnn-cu,CU,4400,71.482,75.802,77.064,61553.6,0.956818,0.956936,0.953909,0.959982
cnn-cu,CU,4500,72.099,77.295,78.299,62413.88,0.956667,0.956963,0.953806,0.960142
cnn-cu,CU,4600,72.611,76.88,77.985,63350.91,0.956304,0.956709,0.953628,0.95981
cnn-cu,CU,4700,73.596,78.274,79.282,63862.39,0.956809,0.95729,0.954679,0.959916
cnn-cu,CU,4800,73.729,79.003,81.398,65103.72,0.957292,0.957775,0.955218,0.960347
cnn-cu,CU,4900,74.344,79.464,81.88,65909.71,0.956939,0.957296,0.95517,0.959432
cnn-cu,CU,5000,74.981,80.548,82.637,66683.73,0.9564,0.95678,0.953755,0.959825
cnn-cu,CU,5100,75.571,81.715,83.164,67486.55,0.956275,0.956556,0.953768,0.959359
cnn-cu,CU,5200,75.558,81.544,82.85,68821.58,0.956731,0.957004,0.954268,0.959755
cnn-cu,CU,5300,76.757,82.07,83.774,69048.69,0.95717,0.957307,0.954614,0.960015
cnn-cu,CU,5400,77.778,84.112,85.772,69428.77,0.957407,0.957627,0.955164,0.960103
cnn-cu,CU,5500,78.15,83.628,84.573,70377.29,0.957818,0.957986,0.955564,0.960421
cnn-cu,CU,5600,78.531,83.554,84.367,71308.98,0.957143,0.957265,0.954885,0.959657
cnn-cu,CU,5700,78.155,84.126,85.031,72931.78,0.957018,0.957085,0.955245,0.958933
cnn-cu,CU,5800,42.133,45.369,47.141,137659.31,0.957069,0.957224,0.955091,0.959366
cnn-cu,CU,5900,42.108,44.154,46.855,140116.6,0.957119,0.9573,0.954882,0.959729
cnn-cu,CU,6000,43.636,46.384,47.8,137500.22,0.957667,0.957737,0.955194,0.960294
