model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-cu,CU,100,1.79,1.924,2.026,55878.4,0.93,0.934579,0.909091,0.961538
lstm-cu,CU,200,2.418,2.72,2.825,82717.59,0.92,0.92381,0.915094,0.932692
lstm-cu,CU,300,3.048,3.352,3.538,98421.25,0.93,0.933333,0.924528,0.942308
lstm-cu,CU,400,3.673,3.926,4.074,108893.57,0.9325,0.937355,0.926606,0.948357
lstm-cu,CU,500,4.266,4.66,4.762,117204.08,0.938,0.941399,0.93609,0.946768
lstm-cu,CU,600,5.035,6.104,6.625,119156.51,0.938333,0.941176,0.933754,0.948718
lstm-cu,CU,700,5.385,5.729,6.036,129999.62,0.941429,0.94452,0.940701,0.94837
lstm-cu,CU,800,6.47,7.716,8.242,123654.02,0.94125,0.943305,0.942169,0.944444
lstm-cu,CU,900,6.474,7.347,8.149,139026.95,0.941111,0.942703,0.937634,0.947826
lstm-cu,CU,1000,7.355,8.753,8.935,135955.63,0.943,0.944063,0.941292,0.94685
lstm-cu,CU,1100,7.851,8.491,9.303,140109.41,0.941818,0.941712,0.94,0.943431
lstm-cu,CU,1200,8.227,9.07,9.469,145868.39,0.941667,0.942053,0.943615,0.940496
lstm-cu,CU,1300,50.315,51.784,52.308,25837.11,0.941538,0.942685,0.945537,0.93985
lstm-cu,CU,1400,51.3,53.363,53.563,27290.47,0.940714,0.941343,0.944681,0.938028
lstm-cu,CU,1500,51.941,53.469,54.286,28879.1,0.944,0.944591,0.948344,0.940867
lstm-cu,CU,1600,52.48,53.766,54.422,30487.75,0.943125,0.944138,0.945879,0.942402
lstm-cu,CU,1700,53.498,55.279,56.762,31777.16,0.945882,0.946759,0.947856,0.945665
lstm-cu,CU,1800,53.742,56.105,56.398,33493.55,0.945,0.945694,0.943107,0.948295
lstm-cu,CU,1900,54.52,56.791,58.11,34849.67,0.945789,0.946438,0.943983,0.948905
lstm-cu,CU,2000,55.16,56.978,57.938,36257.85,0.9455,0.94569,0.944279,0.947106
lstm-cu,CU,2100,55.697,57.241,58.555,37704.07,0.944762,0.945283,0.944392,0.946176
lstm-cu,CU,2200,56.237,58.061,59.173,39120.36,0.945,0.946006,0.9439,0.948122
lstm-cu,CU,2300,56.499,58.888,60.126,40708.5,0.945217,0.945969,0.945159,0.946781
lstm-cu,CU,2400,58.077,59.95,61.277,41324.6,0.944167,0.944536,0.942975,0.946103
lstm-cu,CU,2500,58.631,60.364,61.017,42639.36,0.9448,0.944932,0.941925,0.947958
lstm-cu,CU,2600,58.832,60.919,62.026,44193.8,0.944615,0.944828,0.94194,0.947733
lstm-cu,CU,2700,59.885,62.709,65.252,45086.39,0.945556,0.945656,0.94252,0.948813
lstm-cu,CU,2800,60.139,62.349,64.029,46558.46,0.947143,0.947443,0.944759,0.950142
lstm-cu,CU,2900,60.813,63.278,66.595,47687.25,0.947241,0.947764,0.943576,0.951989
lstm-cu,CU,3000,61.543,63.994,64.919,48746.25,0.948333,0.948726,0.945287,0.952191
lstm-cu,CU,3100,61.061,63.575,64.613,50769.29,0.948387,0.948784,0.944551,0.953055
lstm-cu,CU,3200,62.62,65.188,67.874,51101.96,0.948438,0.94855,0.94472,0.952411
lstm-cu,CU,3300,62.989,65.834,67.111,52389.89,0.948485,0.94864,0.945214,0.952092
lstm-cu,CU,3400,62.61,66.344,67.741,54304.62,0.949118,0.9494,0.946356,0.952465
lstm-cu,CU,3500,63.092,66.409,67.504,55474.14,0.948571,0.948776,0.946621,0.950941
lstm-cu,CU,3600,62.999,66.974,69.5,57144.06,0.947778,0.94798,0.946409,0.949557
lstm-cu,CU,3700,64.096,68.817,69.368,57725.7,0.947568,0.947877,0.945845,0.949919
lstm-cu,CU,3800,64.502,69.196,70.273,58912.79,0.947632,0.947865,0.945635,0.950105
lstm-cu,CU,3900,64.193,68.756,69.978,60754.59,0.948462,0.948764,0.946592,0.950945
lstm-cu,CU,4000,64.968,69.451,70.545,61568.43,0.948,0.948181,0.945355,0.951024
lstm-cu,CU,4100,65.426,69.728,71.065,62666.55,0.948049,0.948036,0.945499,0.950587
lstm-cu,CU,4200,65.853,70.877,72.767,63778.74,0.949048,0.94912,0.94642,0.951836
lstm-cu,CU,4300,66.08,70.899,71.957,65072.61,0.94907,0.949294,0.94732,0.951276
lstm-cu,CU,4400,66.627,71.239,74.218,66039.08,0.949318,0.949376,0.947869,0.950887
lstm-cu,CU,4500,67.687,72.626,74.193,66482.17,0.949111,0.949392,0.947508,0.951284
lstm-cu,CU,4600,68.575,74.02,78.438,67079.39,0.948696,0.949094,0.947459,0.950735
lstm-cu,CU,4700,68.839,73.163,75.529,68274.77,0.949149,0.949652,0.948254,0.951055
lstm-cu,CU,4800,68.886,73.914,75.24,69680.76,0.949375,0.949907,0.948148,0.951673
lstm-cu,CU,4900,70.136,75.552,78.379,69864.15,0.948571,0.948988,0.947071,0.950913
lstm-cu,CU,5000,70.531,75.927,77.433,70890.74,0.9486,0.949018,0.946577,0.951472
lstm-cu,CU,5100,70.478,74.956,80.741,72363.32,0.948627,0.948928,0.946713,0.951153
lstm-cu,CU,5200,70.605,76.414,78.682,73648.84,0.949231,0.949522,0.947348,0.951706
lstm-cu,CU,5300,71.55,76.283,78.037,74074.29,0.95,0.950122,0.948159,0.952094
lstm-cu,CU,5400,71.894,77.055,79.747,75110.78,0.950185,0.950415,0.948492,0.952346
lstm-cu,CU,5500,72.498,78.298,79.641,75863.88,0.950545,0.950725,0.948662,0.952796
lstm-cu,CU,5600,73.249,78.869,80.708,76451.81,0.949643,0.949768,0.947743,0.951803
lstm-cu,CU,5700,74.122,80.072,81.88,76900.49,0.949474,0.949527,0.948197,0.95086
lstm-cu,CU,5800,74.752,80.794,82.192,77590.05,0.949655,0.949811,0.948181,0.951446
lstm-cu,CU,5900,75.138,80.592,81.898,78522.71,0.949831,0.950017,0.948096,0.951946
lstm-cu,CU,6000,75.547,80.984,82.363,79420.78,0.9505,0.950558,0.948505,0.952619
lstm-cu,CU,6100,75.621,80.894,82.171,80665.28,0.949836,0.949935,0.947764,0.952115
lstm-cu,CU,6200,76.489,83.494,84.581,81057.62,0.949194,0.949316,0.94703,0.951613
lstm-cu,CU,6300,76.478,82.82,85.231,82376.49,0.948889,0.948905,0.946802,0.951018
lstm-cu,CU,6400,77.096,83.868,84.623,83012.89,0.949219,0.949179,0.947253,0.951113
lstm-cu,CU,6500,40.295,43.691,44.849,161310.32,0.949077,0.949038,0.947433,0.950648
lstm-cu,CU,6600,40.594,42.49,46.006,162586.57,0.949091,0.949106,0.947384,0.950835
lstm-cu,CU,6700,40.895,44.261,46.559,163834.47,0.949403,0.94932,0.947761,0.950883
lstm-cu,CU,6800,41.841,45.451,47.472,162518.56,0.949118,0.949192,0.947245,0.951148
lstm-cu,CU,6900,42.654,45.655,46.648,161767.24,0.94971,0.949834,0.947778,0.951898
lstm-cu,CU,7000,42.878,45.917,48.04,163252.31,0.949714,0.949929,0.947503,0.952367
lstm-cu,CU,7100,43.34,45.386,47.113,163822.72,0.949718,0.949838,0.947309,0.952381
lstm-cu,CU,7200,44.665,48.764,50.616,161200.71,0.949722,0.949834,0.94747,0.952209
lstm-cu,CU,7300,45.139,48.998,52.417,161723.08,0.949863,0.949945,0.947613,0.95229
lstm-cu,CU,7400,45.25,49.975,51.848,163536.64,0.95027,0.950324,0.94802,0.952639
lstm-cu,CU,7500,45.928,48.037,49.494,163300.37,0.949733,0.949767,0.946865,0.952686
lstm-cu,CU,7600,46.885,51.268,53.266,162099.15,0.95,0.950013,0.947272,0.95277
lstm-cu,CU,7700,47.23,50.619,51.092,163032.86,0.950519,0.950487,0.947655,0.953337
