model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-cu,CU,100,1.993,2.262,2.481,50182.42,0.93,0.934579,0.909091,0.961538
lstm-cu,CU,200,2.922,3.668,4.763,68449.71,0.92,0.92381,0.915094,0.932692
lstm-cu,CU,300,3.619,4.54,4.878,82893.9,0.93,0.933333,0.924528,0.942308
lstm-cu,CU,400,4.04,4.511,4.581,99004.33,0.9325,0.937355,0.926606,0.948357
lstm-cu,CU,500,4.656,5.11,5.928,107394.35,0.938,0.941399,0.93609,0.946768
lstm-cu,CU,600,5.52,6.091,6.719,108688.38,0.94,0.942675,0.936709,0.948718
lstm-cu,CU,700,6.156,6.801,7.417,113708.86,0.942857,0.945799,0.943243,0.94837
lstm-cu,CU,800,6.823,7.521,8.192,117253.61,0.9425,0.944444,0.944444,0.944444
lstm-cu,CU,900,7.181,7.642,8.081,125329.03,0.942222,0.943723,0.939655,0.947826
lstm-cu,CU,1000,7.986,8.569,9.972,125211.76,0.944,0.94499,0.943137,0.94685
lstm-cu,CU,1100,8.688,9.927,11.457,126609.18,0.942727,0.942571,0.941712,0.943431
lstm-cu,CU,1200,9.269,10.211,12.03,129469.7,0.9425,0.942833,0.945183,0.940496
lstm-cu,CU,1300,51.903,53.475,53.597,25046.96,0.942308,0.943396,0.94697,0.93985
lstm-cu,CU,1400,52.852,55.477,55.844,26488.84,0.941429,0.942008,0.946023,0.938028
lstm-cu,CU,1500,53.121,54.668,55.427,28237.51,0.944667,0.945215,0.949602,0.940867
lstm-cu,CU,1600,54.022,55.715,57.466,29617.64,0.944375,0.945298,0.948212,0.942402
lstm-cu,CU,1700,54.809,56.462,57.086,31016.64,0.947059,0.947856,0.950058,0.945665
lstm-cu,CU,1800,55.508,57.401,58.354,32427.65,0.946667,0.947253,0.946213,0.948295
lstm-cu,CU,1900,56.25,57.635,59.285,33777.72,0.947368,0.947917,0.94693,0.948905
lstm-cu,CU,2000,57.076,59.454,61.649,35041.08,0.947,0.947106,0.947106,0.947106
lstm-cu,CU,2100,57.368,58.692,59.938,36606.08,0.946667,0.94707,0.947966,0.946176
lstm-cu,CU,2200,58.471,60.279,62.155,37625.79,0.946818,0.947698,0.947274,0.948122
lstm-cu,CU,2300,59.032,61.426,62.241,38962.24,0.946957,0.947595,0.948409,0.946781
lstm-cu,CU,2400,59.457,62.323,63.557,40365.49,0.945833,0.946103,0.946103,0.946103
lstm-cu,CU,2500,60.181,62.362,62.802,41541.62,0.9464,0.946443,0.944932,0.947958
lstm-cu,CU,2600,61.749,64.159,65.716,42106.0,0.946154,0.946278,0.944828,0.947733
