model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-cu,CU,100,2.913,2.977,18.563,34327.95,0.94,0.94,0.979167,0.903846
transformer-cu,CU,200,4.927,5.849,37.397,40588.99,0.925,0.923858,0.978495,0.875
transformer-cu,CU,300,6.038,28.246,33.177,49685.47,0.94,0.939597,0.985915,0.897436
transformer-cu,CU,400,7.065,28.516,36.934,56614.89,0.95,0.95122,0.989848,0.915493
transformer-cu,CU,500,8.166,29.224,36.908,61225.88,0.954,0.954635,0.991803,0.920152
transformer-cu,CU,600,9.903,39.064,42.073,60589.99,0.956667,0.956954,0.989726,0.926282
transformer-cu,CU,700,10.547,37.157,43.575,66368.78,0.958571,0.959327,0.991304,0.929348
transformer-cu,CU,800,11.635,38.441,43.608,68757.28,0.9575,0.9575,0.992228,0.925121
transformer-cu,CU,900,14.019,49.909,57.056,64198.45,0.96,0.959641,0.990741,0.930435
transformer-cu,CU,1000,14.744,46.716,51.381,67822.58,0.96,0.959432,0.98954,0.931102
transformer-cu,CU,1100,51.491,52.833,53.412,21363.05,0.96,0.958569,0.990272,0.928832
transformer-cu,CU,1200,52.14,53.917,55.611,23014.74,0.959167,0.958155,0.991166,0.927273
transformer-cu,CU,1300,52.958,54.94,55.499,24547.54,0.959231,0.958819,0.991961,0.92782
transformer-cu,CU,1400,53.628,54.855,56.348,26105.66,0.957857,0.957091,0.989474,0.926761
transformer-cu,CU,1500,54.138,55.615,57.044,27706.72,0.96,0.95935,0.99021,0.930355
transformer-cu,CU,1600,54.839,56.642,56.945,29176.1,0.960625,0.960202,0.990874,0.931373
transformer-cu,CU,1700,55.918,57.997,59.242,30401.56,0.962941,0.962522,0.991422,0.93526
transformer-cu,CU,1800,56.422,58.569,60.268,31902.29,0.962778,0.962125,0.989535,0.936194
transformer-cu,CU,1900,56.978,59.482,61.214,33345.93,0.963684,0.963042,0.990088,0.937435
transformer-cu,CU,2000,58.163,60.616,62.03,34386.26,0.9625,0.961519,0.98944,0.93513
transformer-cu,CU,2100,58.495,60.257,64.541,35900.61,0.962381,0.961632,0.99,0.934844
transformer-cu,CU,2200,59.364,62.469,64.132,37059.51,0.963182,0.962793,0.989613,0.937388
transformer-cu,CU,2300,59.632,62.247,63.068,38569.6,0.963043,0.962506,0.990018,0.936481
transformer-cu,CU,2400,60.417,62.75,63.923,39724.03,0.963333,0.962489,0.990351,0.936153
transformer-cu,CU,2500,61.759,63.955,64.894,40479.74,0.9632,0.96214,0.989839,0.935949
transformer-cu,CU,2600,62.083,64.316,65.956,41879.22,0.962692,0.961675,0.989431,0.935434
transformer-cu,CU,2700,62.694,65.267,80.534,43066.26,0.963704,0.962652,0.989812,0.936944
transformer-cu,CU,2800,64.032,67.137,86.638,43727.98,0.964643,0.963803,0.990233,0.938746
transformer-cu,CU,2900,64.292,66.488,72.16,45106.43,0.965172,0.964474,0.989892,0.940329
transformer-cu,CU,3000,64.644,68.936,72.226,46408.34,0.965667,0.96493,0.990217,0.940903
transformer-cu,CU,3100,65.345,68.592,76.087,47440.33,0.965806,0.965086,0.989196,0.942122
transformer-cu,CU,3200,65.752,68.03,72.713,48667.78,0.965313,0.964389,0.988816,0.94114
transformer-cu,CU,3300,68.254,82.66,93.954,48348.94,0.965152,0.964252,0.989158,0.94057
transformer-cu,CU,3400,66.453,71.414,90.328,51163.78,0.965,0.964211,0.988896,0.940728
transformer-cu,CU,3500,67.744,73.931,93.331,51665.16,0.964571,0.963721,0.989189,0.939532
transformer-cu,CU,3600,69.082,88.193,94.775,52112.33,0.964167,0.9633,0.98948,0.93847
transformer-cu,CU,3700,69.682,88.795,93.98,53098.34,0.964595,0.963802,0.989784,0.939149
transformer-cu,CU,3800,71.172,88.717,94.189,53391.75,0.964211,0.963362,0.988938,0.939076
transformer-cu,CU,3900,71.272,86.223,94.007,54719.71,0.964872,0.964108,0.989247,0.940215
transformer-cu,CU,4000,72.257,92.044,96.815,55357.97,0.96525,0.964386,0.989485,0.94053
