model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-cu,CU,100,2.73,2.903,8.762,36623.61,0.94,0.94,0.979167,0.903846
transformer-cu,CU,200,5.026,5.342,36.551,39795.69,0.925,0.923858,0.978495,0.875
transformer-cu,CU,300,5.709,17.588,27.296,52546.79,0.94,0.939597,0.985915,0.897436
transformer-cu,CU,400,7.064,23.331,32.153,56622.51,0.95,0.95122,0.989848,0.915493
transformer-cu,CU,500,8.035,24.167,35.327,62228.25,0.954,0.954635,0.991803,0.920152
transformer-cu,CU,600,10.133,35.544,40.456,59210.68,0.956667,0.956954,0.989726,0.926282
transformer-cu,CU,700,10.497,31.195,36.988,66684.85,0.958571,0.959327,0.991304,0.929348
transformer-cu,CU,800,11.302,31.406,39.862,70786.63,0.9575,0.9575,0.992228,0.925121
transformer-cu,CU,900,13.306,44.823,48.038,67637.07,0.96,0.959641,0.990741,0.930435
transformer-cu,CU,1000,14.537,41.806,50.859,68790.53,0.96,0.959432,0.98954,0.931102
transformer-cu,CU,1100,52.498,54.304,54.479,20953.08,0.96,0.958569,0.990272,0.928832
transformer-cu,CU,1200,53.228,54.576,55.507,22544.34,0.959167,0.958155,0.991166,0.927273
transformer-cu,CU,1300,54.082,56.371,56.662,24037.47,0.959231,0.958819,0.991961,0.92782
transformer-cu,CU,1400,54.731,56.376,56.664,25579.64,0.957857,0.957091,0.989474,0.926761
transformer-cu,CU,1500,55.695,57.507,60.269,26932.55,0.96,0.95935,0.99021,0.930355
transformer-cu,CU,1600,56.456,57.822,58.496,28340.85,0.960625,0.960202,0.990874,0.931373
transformer-cu,CU,1700,57.331,59.123,60.13,29652.44,0.962941,0.962522,0.991422,0.93526
transformer-cu,CU,1800,57.967,59.383,60.259,31052.37,0.962778,0.962125,0.989535,0.936194
transformer-cu,CU,1900,58.557,60.204,61.474,32447.15,0.963684,0.963042,0.990088,0.937435
transformer-cu,CU,2000,59.446,61.265,62.931,33644.24,0.9625,0.961519,0.98944,0.93513
transformer-cu,CU,2100,60.126,62.431,64.078,34926.79,0.962381,0.961632,0.99,0.934844
transformer-cu,CU,2200,61.041,63.475,66.496,36041.13,0.963182,0.962793,0.989613,0.937388
transformer-cu,CU,2300,61.804,64.04,65.525,37214.62,0.963043,0.962506,0.990018,0.936481
transformer-cu,CU,2400,62.22,64.48,65.965,38572.93,0.963333,0.962489,0.990351,0.936153
transformer-cu,CU,2500,63.65,65.525,66.547,39277.29,0.9632,0.96214,0.989839,0.935949
transformer-cu,CU,2600,63.079,66.041,68.221,41217.98,0.962692,0.961675,0.989431,0.935434
transformer-cu,CU,2700,63.858,66.413,69.961,42281.1,0.963704,0.962652,0.989812,0.936944
transformer-cu,CU,2800,65.416,68.627,68.963,42803.11,0.964643,0.963803,0.990233,0.938746
transformer-cu,CU,2900,65.004,68.719,72.891,44612.65,0.965172,0.964474,0.989892,0.940329
transformer-cu,CU,3000,65.799,69.318,70.332,45593.61,0.965667,0.96493,0.990217,0.940903
transformer-cu,CU,3100,67.149,70.664,77.261,46166.13,0.965806,0.965086,0.989196,0.942122
transformer-cu,CU,3200,68.051,73.149,85.302,47023.84,0.965313,0.964389,0.988816,0.94114
transformer-cu,CU,3300,68.545,78.208,87.897,48143.28,0.965152,0.964252,0.989158,0.94057
transformer-cu,CU,3400,69.17,75.821,88.375,49154.18,0.965,0.964211,0.988896,0.940728
transformer-cu,CU,3500,70.627,79.334,92.899,49555.85,0.964571,0.963721,0.989189,0.939532
transformer-cu,CU,3600,71.897,88.145,97.658,50071.91,0.964167,0.9633,0.98948,0.93847
transformer-cu,CU,3700,73.026,86.875,97.056,50667.17,0.964595,0.963802,0.989784,0.939149
transformer-cu,CU,3800,72.734,86.537,96.612,52245.12,0.964211,0.963362,0.988938,0.939076
transformer-cu,CU,3900,73.017,83.746,94.929,53412.14,0.964872,0.964108,0.989247,0.940215
transformer-cu,CU,4000,73.674,83.785,98.438,54292.87,0.96525,0.964386,0.989485,0.94053
transformer-cu,CU,4100,75.727,94.903,118.801,54141.96,0.965122,0.964115,0.989696,0.939824
transformer-cu,CU,4200,75.917,96.439,120.348,55323.66,0.965476,0.964539,0.98996,0.940391
transformer-cu,CU,4300,78.286,95.747,124.934,54926.84,0.965116,0.964286,0.99022,0.939675
transformer-cu,CU,4400,78.437,96.694,98.028,56095.82,0.965,0.964069,0.989938,0.939518
transformer-cu,CU,4500,78.522,95.926,106.58,57308.49,0.965111,0.964342,0.989744,0.940213
transformer-cu,CU,4600,80.124,97.374,99.267,57410.74,0.964348,0.963669,0.988636,0.939931
transformer-cu,CU,4700,79.1,96.706,100.902,59418.48,0.964255,0.963652,0.988899,0.939662
transformer-cu,CU,4800,82.98,98.306,132.106,57845.46,0.964583,0.963998,0.989135,0.940107
transformer-cu,CU,4900,82.695,97.996,132.016,59254.24,0.964286,0.96358,0.989316,0.939148
transformer-cu,CU,5000,83.022,98.488,115.629,60224.83,0.9648,0.964096,0.989531,0.939936
transformer-cu,CU,5100,83.5,98.799,125.933,61077.67,0.964706,0.963928,0.989305,0.93982
transformer-cu,CU,5200,74.22,98.585,99.27,70061.91,0.964808,0.964026,0.989508,0.939824
transformer-cu,CU,5300,75.402,98.727,99.255,70289.6,0.965283,0.96441,0.989678,0.9404
transformer-cu,CU,5400,77.847,98.969,99.605,69366.73,0.965556,0.964773,0.989895,0.940894
transformer-cu,CU,5500,71.104,98.098,98.858,77351.87,0.966,0.965196,0.990073,0.94154
transformer-cu,CU,5600,74.466,98.624,99.999,75201.96,0.964821,0.963926,0.989474,0.939664
transformer-cu,CU,5700,71.205,98.401,99.083,80051.03,0.964386,0.96343,0.989637,0.938575
transformer-cu,CU,5800,74.115,98.375,99.257,78256.43,0.964828,0.963958,0.98984,0.939394
transformer-cu,CU,5900,76.411,98.203,98.855,77213.72,0.965085,0.964236,0.990018,0.939763
transformer-cu,CU,6000,74.476,98.296,99.26,80563.22,0.965667,0.96475,0.990165,0.940607
transformer-cu,CU,6100,77.319,98.852,99.798,78894.3,0.965574,0.96467,0.990328,0.940308
transformer-cu,CU,6200,79.767,98.507,99.873,77726.11,0.965,0.964067,0.990473,0.939032
