model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-cu,CU,100,2.932,3.134,18.109,34104.55,0.94,0.94,0.979167,0.903846
transformer-cu,CU,200,4.872,5.302,33.473,41046.93,0.925,0.923858,0.978495,0.875
transformer-cu,CU,300,5.609,10.985,23.859,53486.49,0.94,0.939597,0.985915,0.897436
transformer-cu,CU,400,6.938,26.615,28.932,57655.2,0.95,0.95122,0.989848,0.915493
transformer-cu,CU,500,7.871,26.634,31.147,63524.43,0.954,0.954635,0.991803,0.920152
transformer-cu,CU,600,10.036,35.866,43.115,59783.97,0.956667,0.956954,0.989726,0.926282
transformer-cu,CU,700,10.363,28.454,38.951,67548.93,0.958571,0.959327,0.991304,0.929348
transformer-cu,CU,800,11.343,27.904,39.76,70525.17,0.9575,0.9575,0.992228,0.925121
transformer-cu,CU,900,13.839,44.836,46.148,65032.73,0.96,0.959641,0.990741,0.930435
transformer-cu,CU,1000,14.991,42.865,48.323,66705.78,0.96,0.959432,0.98954,0.931102
transformer-cu,CU,1100,52.298,53.904,54.633,21033.2,0.96,0.958569,0.990272,0.928832
transformer-cu,CU,1200,53.376,55.01,55.42,22482.16,0.959167,0.958155,0.991166,0.927273
transformer-cu,CU,1300,53.75,56.447,57.466,24186.09,0.959231,0.958819,0.991961,0.92782
transformer-cu,CU,1400,54.85,56.746,58.363,25524.3,0.957857,0.957091,0.989474,0.926761
transformer-cu,CU,1500,55.654,57.758,58.575,26952.29,0.96,0.95935,0.99021,0.930355
transformer-cu,CU,1600,56.301,58.433,59.513,28418.85,0.960625,0.960202,0.990874,0.931373
transformer-cu,CU,1700,57.487,59.221,61.314,29571.65,0.962941,0.962522,0.991422,0.93526
transformer-cu,CU,1800,57.513,59.519,60.547,31297.21,0.962778,0.962125,0.989535,0.936194
transformer-cu,CU,1900,58.58,60.661,63.039,32434.14,0.963684,0.963042,0.990088,0.937435
transformer-cu,CU,2000,59.278,60.903,62.041,33739.32,0.9625,0.961519,0.98944,0.93513
transformer-cu,CU,2100,60.042,62.99,65.331,34975.25,0.962381,0.961632,0.99,0.934844
