model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput,acc,f1,precision,recall
autoencoder-du,DU,100,43.882,45.359,45.614,2278.85,0.88,0.884615,0.807018,0.978723
autoencoder-du,DU,200,45.321,46.521,46.955,4412.98,0.89,0.90678,0.849206,0.972727
autoencoder-du,DU,300,5.142,5.809,7.251,58345.62,0.903333,0.917379,0.865591,0.975758
autoencoder-du,DU,400,7.126,7.809,46.564,56133.29,0.915,0.92887,0.888,0.973684
autoencoder-du,DU,500,16.896,48.621,49.787,29593.06,0.916,0.93,0.888535,0.975524
autoencoder-du,DU,600,19.108,49.726,51.044,31401.2,0.908333,0.922644,0.874667,0.97619
autoencoder-du,DU,700,20.606,50.812,51.139,33970.35,0.908571,0.923261,0.873016,0.979644
autoencoder-du,DU,800,24.261,51.92,52.582,32974.73,0.90875,0.922423,0.869739,0.9819
autoencoder-du,DU,900,20.687,53.189,53.53,43506.26,0.904444,0.918406,0.862745,0.981744
autoencoder-du,DU,1000,20.551,53.535,54.036,48659.55,0.909,0.920938,0.866013,0.983302
autoencoder-du,DU,1100,32.125,54.677,55.543,34240.95,0.907273,0.919176,0.861813,0.98472
autoencoder-du,DU,1200,25.606,55.239,56.276,46864.29,0.905833,0.918175,0.859079,0.986003
autoencoder-du,DU,1300,33.59,57.775,59.696,38702.5,0.902308,0.914478,0.851945,0.986919
autoencoder-du,DU,1400,37.408,58.415,59.34,37425.57,0.902857,0.914573,0.852459,0.98645
autoencoder-du,DU,1500,37.365,59.573,60.892,40144.42,0.902,0.913682,0.852136,0.98481
autoencoder-du,DU,1600,37.127,61.642,63.806,43095.04,0.901875,0.913212,0.852425,0.983333
autoencoder-du,DU,1700,39.633,62.193,63.946,42894.05,0.904706,0.916062,0.856589,0.98441
autoencoder-du,DU,1800,43.823,64.99,66.133,41074.08,0.901667,0.913022,0.851512,0.98411
autoencoder-du,DU,1900,42.402,64.233,65.024,44808.73,0.902105,0.913969,0.853195,0.984064
autoencoder-du,DU,2000,44.266,65.106,66.619,45181.25,0.9015,0.912793,0.85066,0.984718
autoencoder-du,DU,2100,46.536,67.468,68.676,45126.19,0.902857,0.914286,0.852665,0.985507
autoencoder-du,DU,2200,46.322,69.119,70.655,47493.33,0.900909,0.91259,0.849888,0.985281
autoencoder-du,DU,2300,46.201,68.66,70.052,49782.68,0.900435,0.912361,0.850214,0.98431
autoencoder-du,DU,2400,46.338,69.454,70.892,51793.36,0.900833,0.912757,0.85041,0.984968
autoencoder-du,DU,2500,43.675,70.596,72.439,57240.72,0.8988,0.910884,0.848982,0.982523
autoencoder-du,DU,2600,48.65,73.102,73.606,53442.73,0.898462,0.910387,0.847661,0.983138
autoencoder-du,DU,2700,51.88,72.748,74.933,52042.9,0.898889,0.910462,0.847892,0.983003
autoencoder-du,DU,2800,53.472,75.912,76.295,52364.09,0.898929,0.910016,0.846746,0.983505
autoencoder-du,DU,2900,52.239,75.845,77.338,55514.11,0.899655,0.910324,0.847876,0.982701
autoencoder-du,DU,3000,56.304,76.789,79.74,53282.47,0.900333,0.910985,0.848586,0.98329
autoencoder-du,DU,3100,57.225,78.218,79.188,54172.34,0.90129,0.911866,0.849705,0.983841
autoencoder-du,DU,3200,54.539,79.081,81.398,58673.49,0.900312,0.910869,0.848075,0.983705
autoencoder-du,DU,3300,61.044,80.536,82.54,54059.35,0.900303,0.910622,0.847749,0.983568
autoencoder-du,DU,3400,59.961,81.685,84.142,56703.26,0.898824,0.909043,0.845133,0.98341
autoencoder-du,DU,3500,64.695,81.732,82.811,54099.79,0.899429,0.909974,0.846337,0.98396
autoencoder-du,DU,3600,62.449,83.179,84.889,57647.38,0.898889,0.909588,0.845337,0.984409
autoencoder-du,DU,3700,62.866,86.8,88.724,58855.18,0.898378,0.909485,0.844812,0.98488
autoencoder-du,DU,3800,59.933,84.639,85.676,63404.6,0.897895,0.909133,0.843913,0.985279
autoencoder-du,DU,3900,67.304,86.016,88.702,57945.89,0.899744,0.910383,0.845826,0.985608
autoencoder-du,DU,4000,67.764,88.175,89.739,59028.04,0.90025,0.910838,0.846346,0.98597
autoencoder-du,DU,4100,67.321,89.221,92.953,60902.54,0.900976,0.911392,0.847059,0.986301
autoencoder-du,DU,4200,67.187,89.512,91.118,62512.24,0.901905,0.912191,0.848197,0.98663
autoencoder-du,DU,4300,70.301,91.51,93.656,61165.84,0.90093,0.911471,0.846718,0.986949
autoencoder-du,DU,4400,71.372,92.358,93.072,61649.05,0.900455,0.911048,0.845777,0.987236
autoencoder-du,DU,4500,71.143,93.277,98.254,63252.48,0.900444,0.910793,0.845159,0.987478
autoencoder-du,DU,4600,69.187,93.959,95.214,66486.48,0.901304,0.911535,0.846237,0.987753
autoencoder-du,DU,4700,72.374,95.77,98.098,64940.6,0.901064,0.911209,0.8455,0.987992
autoencoder-du,DU,4800,72.49,96.333,98.038,66215.93,0.900833,0.911061,0.845061,0.988245
autoencoder-du,DU,4900,67.565,96.244,97.889,72522.49,0.900816,0.910956,0.845003,0.988076
autoencoder-du,DU,5000,68.574,96.265,97.207,72913.46,0.9012,0.911279,0.845949,0.987544
autoencoder-du,DU,5100,71.482,97.475,98.622,71346.17,0.900784,0.910884,0.845651,0.987023
autoencoder-du,DU,5200,67.096,98.238,99.248,77500.91,0.900769,0.910881,0.845463,0.987271
autoencoder-du,DU,5300,66.553,99.358,102.662,79636.24,0.900566,0.91042,0.844795,0.987099
autoencoder-du,DU,5400,62.403,66.122,97.697,86533.93,0.9,0.909759,0.843508,0.987305
autoencoder-du,DU,5500,62.1,66.238,71.34,88566.49,0.900909,0.910406,0.844465,0.987518
autoencoder-du,DU,5600,64.479,68.166,70.87,86850.47,0.901607,0.911143,0.845555,0.987762
autoencoder-du,DU,5700,65.254,68.847,71.293,87351.22,0.901579,0.911051,0.845746,0.987285
autoencoder-du,DU,5800,67.182,71.992,74.742,86332.67,0.901897,0.911274,0.845976,0.987496
autoencoder-du,DU,5900,66.456,70.061,71.744,88779.91,0.900847,0.910317,0.844425,0.987363
autoencoder-du,DU,6000,68.128,72.461,74.441,88069.91,0.9005,0.910023,0.843767,0.98757
autoencoder-du,DU,6100,68.288,71.8,76.712,89327.84,0.900656,0.910116,0.843784,0.987766
autoencoder-du,DU,6200,69.161,72.639,77.85,89645.89,0.900484,0.909993,0.843429,0.987963
autoencoder-du,DU,6300,72.422,76.928,77.79,86990.42,0.900317,0.909822,0.843226,0.987839
autoencoder-du,DU,6400,73.889,78.415,83.954,86615.92,0.900937,0.910224,0.843791,0.988011
autoencoder-du,DU,6500,75.185,80.02,82.214,86453.73,0.900923,0.910256,0.843928,0.987901
autoencoder-du,DU,6600,73.542,77.275,79.826,89744.61,0.901212,0.910807,0.844924,0.987834
autoencoder-du,DU,6700,76.185,79.869,82.997,87943.79,0.901045,0.910803,0.844983,0.987744
autoencoder-du,DU,6800,77.777,82.408,88.481,87429.83,0.901176,0.910993,0.845171,0.987935
autoencoder-du,DU,6900,78.047,82.704,85.314,88407.99,0.901014,0.910731,0.844811,0.987808
autoencoder-du,DU,7000,79.927,83.899,87.135,87579.98,0.901429,0.911151,0.845602,0.987716
autoencoder-du,DU,7100,81.159,86.997,88.589,87483.09,0.901831,0.911425,0.846154,0.987607
autoencoder-du,DU,7200,82.011,86.38,89.572,87793.42,0.9025,0.912008,0.847031,0.987782
autoencoder-du,DU,7300,80.735,85.211,89.569,90419.13,0.901781,0.911163,0.845871,0.987379
autoencoder-du,DU,7400,83.609,88.262,91.615,88507.31,0.902027,0.91138,0.846119,0.98755
autoencoder-du,DU,7500,85.154,89.882,93.093,88075.72,0.902133,0.911203,0.845722,0.987674
autoencoder-du,DU,7600,84.143,89.424,91.989,90322.19,0.901842,0.910872,0.845045,0.987821
autoencoder-du,DU,7700,88.034,93.247,95.558,87466.66,0.900519,0.909649,0.84321,0.987452
autoencoder-du,DU,7800,85.933,90.23,90.682,90768.48,0.900256,0.909472,0.842786,0.987617
autoencoder-du,DU,7900,87.788,92.433,95.754,89989.57,0.900886,0.90999,0.843564,0.987771
autoencoder-du,DU,8000,88.712,95.264,99.003,90179.77,0.900875,0.910081,0.843599,0.987937
autoencoder-du,DU,8100,89.289,94.356,95.757,90716.72,0.901235,0.910414,0.844237,0.987849
autoencoder-du,DU,8200,92.456,99.056,101.745,88690.7,0.901341,0.910479,0.844417,0.987755
