model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
autoencoder-du,DU,100,43.538,44.758,45.112,2296.83,0.9,0.901961,0.938776,0.867925
autoencoder-du,DU,200,44.919,46.348,46.837,4452.46,0.89,0.89,0.927083,0.855769
autoencoder-du,DU,300,45.904,46.731,47.44,6535.44,0.89,0.888889,0.90411,0.874172
autoencoder-du,DU,400,7.502,7.359,46.277,53321.46,0.89,0.888325,0.897436,0.879397
autoencoder-du,DU,500,19.577,48.193,49.414,25540.41,0.882,0.880808,0.893443,0.868526
autoencoder-du,DU,600,17.112,49.562,50.131,35063.95,0.886667,0.881944,0.891228,0.872852
autoencoder-du,DU,700,23.469,49.872,50.44,29827.21,0.887143,0.884672,0.89645,0.873199
autoencoder-du,DU,800,21.137,50.992,51.764,37847.57,0.895,0.89313,0.904639,0.88191
autoencoder-du,DU,900,23.001,52.268,54.215,39128.88,0.897778,0.895692,0.90389,0.88764
autoencoder-du,DU,1000,27.469,53.466,54.126,36404.23,0.898,0.89613,0.907216,0.885312
autoencoder-du,DU,1100,30.467,53.822,54.124,36105.0,0.9,0.89777,0.901119,0.894444
autoencoder-du,DU,1200,29.112,55.288,55.422,41219.55,0.898333,0.896435,0.899489,0.893401
autoencoder-du,DU,1300,38.648,56.774,57.505,33636.78,0.896923,0.893819,0.893819,0.893819
autoencoder-du,DU,1400,35.759,57.935,58.181,39150.74,0.897857,0.89493,0.894273,0.895588
autoencoder-du,DU,1500,38.549,59.017,59.682,38911.09,0.899333,0.895934,0.89779,0.894085
autoencoder-du,DU,1600,35.627,58.722,59.57,44910.19,0.9025,0.899355,0.900517,0.898196
autoencoder-du,DU,1700,41.014,61.011,63.297,41449.18,0.905294,0.901769,0.90232,0.90122
autoencoder-du,DU,1800,39.177,61.135,63.092,45945.34,0.903889,0.899594,0.901163,0.89803
autoencoder-du,DU,1900,43.609,62.808,64.313,43568.82,0.903158,0.899012,0.902977,0.895082
autoencoder-du,DU,2000,44.664,63.894,64.117,44778.69,0.9045,0.900469,0.903766,0.897196
autoencoder-du,DU,2100,40.766,66.971,67.407,51513.24,0.90381,0.900591,0.901478,0.899705
autoencoder-du,DU,2200,44.31,66.02,68.504,49650.39,0.902273,0.899014,0.900282,0.897749
autoencoder-du,DU,2300,47.947,66.575,68.245,47969.72,0.903043,0.900134,0.900538,0.899731
autoencoder-du,DU,2400,49.48,68.7,70.227,48504.07,0.9025,0.900256,0.899489,0.901024
autoencoder-du,DU,2500,43.51,68.094,70.645,57457.46,0.9012,0.899471,0.899105,0.899837
autoencoder-du,DU,2600,48.472,69.775,71.742,53639.52,0.901923,0.900662,0.901013,0.900312
autoencoder-du,DU,2700,52.765,71.722,72.731,51169.96,0.9,0.898573,0.897898,0.899248
autoencoder-du,DU,2800,51.045,71.677,74.278,54853.43,0.899286,0.897305,0.894049,0.900585
autoencoder-du,DU,2900,49.227,73.123,74.206,58911.03,0.898966,0.897085,0.893007,0.9012
autoencoder-du,DU,3000,54.641,73.781,75.709,54903.72,0.9,0.89858,0.893746,0.903467
autoencoder-du,DU,3100,54.022,75.259,76.94,57384.09,0.89871,0.896982,0.89288,0.901121
autoencoder-du,DU,3200,56.561,76.106,77.247,56575.71,0.89875,0.897143,0.892045,0.902299
autoencoder-du,DU,3300,55.98,76.371,77.416,58949.62,0.898485,0.897397,0.891662,0.903206
autoencoder-du,DU,3400,55.056,78.04,81.013,61755.71,0.897941,0.896757,0.889086,0.904562
autoencoder-du,DU,3500,58.231,78.985,79.815,60105.09,0.899429,0.898442,0.890732,0.906286
autoencoder-du,DU,3600,55.297,79.454,80.694,65102.83,0.898611,0.89773,0.89,0.905596
autoencoder-du,DU,3700,59.187,81.76,85.059,62513.6,0.897568,0.896589,0.889069,0.904238
autoencoder-du,DU,3800,53.785,81.162,82.166,70651.82,0.897895,0.897028,0.889474,0.904711
autoencoder-du,DU,3900,56.859,81.985,83.0,68591.2,0.898462,0.897674,0.889857,0.905631
autoencoder-du,DU,4000,57.347,83.404,84.581,69750.23,0.89875,0.897856,0.89,0.905852
autoencoder-du,DU,4100,65.109,85.933,87.251,62971.13,0.899512,0.898921,0.890185,0.90783
autoencoder-du,DU,4200,66.153,86.598,87.426,63489.56,0.899524,0.899091,0.890152,0.908213
autoencoder-du,DU,4300,65.348,87.129,88.65,65801.92,0.90093,0.900514,0.891767,0.909434
autoencoder-du,DU,4400,69.253,87.696,88.55,63535.41,0.900227,0.900205,0.892294,0.908257
autoencoder-du,DU,4500,67.509,90.11,92.783,66658.0,0.897778,0.897641,0.889722,0.905703
autoencoder-du,DU,4600,69.234,89.897,93.226,66441.76,0.897391,0.897168,0.889033,0.905453
autoencoder-du,DU,4700,68.571,90.404,92.082,68542.01,0.897234,0.897168,0.890156,0.904292
