model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
cnn-du,DU,100,2.057,2.353,2.691,48623.03,0.99,0.989247,1.0,0.978723
cnn-du,DU,200,3.023,3.505,3.836,66163.73,0.995,0.995434,1.0,0.990909
cnn-du,DU,300,3.924,4.466,4.785,76456.27,0.996667,0.99696,1.0,0.993939
cnn-du,DU,400,4.876,5.558,6.181,82028.86,0.9975,0.997802,1.0,0.995614
cnn-du,DU,500,5.543,6.389,6.924,90207.68,0.998,0.998249,1.0,0.996503
cnn-du,DU,600,6.221,7.028,7.456,96445.58,0.996667,0.997015,1.0,0.994048
cnn-du,DU,700,7.026,7.692,8.858,99636.58,0.997143,0.997449,1.0,0.994911
cnn-du,DU,800,7.759,8.924,9.652,103109.89,0.99625,0.996595,1.0,0.993213
cnn-du,DU,900,8.532,9.326,9.949,105488.23,0.996667,0.996948,1.0,0.993915
cnn-du,DU,1000,9.671,11.038,12.935,103405.51,0.997,0.997209,1.0,0.994434
cnn-du,DU,1100,10.184,11.795,12.912,108014.1,0.997273,0.997447,1.0,0.994907
cnn-du,DU,1200,10.747,11.856,13.788,111661.7,0.9975,0.997662,1.0,0.995334
cnn-du,DU,1300,11.906,13.313,14.494,109192.87,0.997692,0.997815,1.0,0.99564
cnn-du,DU,1400,54.376,56.359,56.89,25746.86,0.997857,0.997963,1.0,0.995935
cnn-du,DU,1500,55.027,56.469,58.721,27259.53,0.997333,0.997462,1.0,0.994937
cnn-du,DU,1600,56.069,58.343,58.976,28536.32,0.9975,0.997613,1.0,0.995238
cnn-du,DU,1700,56.643,58.577,59.686,30012.51,0.997647,0.997768,1.0,0.995546
cnn-du,DU,1800,57.623,59.858,60.412,31237.3,0.997778,0.997877,1.0,0.995763
cnn-du,DU,1900,58.775,61.263,62.289,32326.5,0.997895,0.998004,1.0,0.996016
cnn-du,DU,2000,59.057,61.253,62.065,33865.66,0.998,0.998086,1.0,0.99618
cnn-du,DU,2100,59.515,62.074,64.154,35284.94,0.998095,0.998185,1.0,0.996377
cnn-du,DU,2200,60.552,62.495,63.238,36332.25,0.998182,0.998265,1.0,0.996537
cnn-du,DU,2300,61.875,63.811,66.003,37171.81,0.997826,0.997931,1.0,0.995871
cnn-du,DU,2400,62.299,64.519,65.854,38523.96,0.997917,0.998018,1.0,0.996044
cnn-du,DU,2500,62.969,65.692,67.344,39702.39,0.998,0.998097,1.0,0.996201
cnn-du,DU,2600,63.679,65.847,67.12,40829.9,0.998077,0.998164,1.0,0.996334
cnn-du,DU,2700,63.416,66.829,67.328,42576.05,0.998148,0.998226,1.0,0.996459
cnn-du,DU,2800,65.089,68.239,69.02,43017.84,0.998214,0.998279,1.0,0.996564
cnn-du,DU,2900,65.536,68.797,69.576,44250.54,0.998276,0.998334,1.0,0.996673
cnn-du,DU,3000,66.298,70.087,72.226,45250.09,0.998333,0.998391,1.0,0.996787
cnn-du,DU,3100,65.94,70.231,71.581,47012.26,0.998387,0.998444,1.0,0.996892
cnn-du,DU,3200,66.939,70.012,71.126,47804.67,0.998125,0.998186,1.0,0.996379
cnn-du,DU,3300,67.65,71.693,73.5,48780.53,0.998182,0.998236,1.0,0.996479
cnn-du,DU,3400,68.012,71.799,73.315,49991.06,0.997941,0.997994,1.0,0.995995
cnn-du,DU,3500,69.399,73.253,75.073,50432.85,0.997714,0.997784,0.999445,0.996128
cnn-du,DU,3600,68.713,72.617,74.339,52391.59,0.997778,0.997846,0.999461,0.996237
cnn-du,DU,3700,69.563,74.936,76.019,53188.84,0.997568,0.99765,0.999477,0.995829
cnn-du,DU,3800,70.433,75.996,77.845,53951.72,0.997632,0.997712,0.999491,0.995939
