model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
cnn-du,DU,100,1.96,2.327,3.262,51032.44,0.94,0.946429,0.898305,1.0
cnn-du,DU,200,2.877,3.206,3.326,69509.88,0.925,0.932735,0.87395,1.0
cnn-du,DU,300,3.509,3.731,3.851,85482.94,0.916667,0.923547,0.857955,1.0
cnn-du,DU,400,4.261,4.879,5.491,93867.08,0.915,0.921296,0.854077,1.0
cnn-du,DU,500,5.036,6.119,6.703,99293.53,0.916,0.922794,0.856655,1.0
cnn-du,DU,600,5.455,5.982,6.269,109989.61,0.905,0.910798,0.836207,1.0
cnn-du,DU,700,6.231,7.208,8.186,112345.53,0.908571,0.915567,0.844282,1.0
cnn-du,DU,800,6.725,7.453,8.64,118956.55,0.9125,0.919169,0.850427,1.0
cnn-du,DU,900,7.347,8.135,8.622,122496.17,0.911111,0.917526,0.847619,1.0
cnn-du,DU,1000,8.17,9.496,10.345,122394.71,0.914,0.92037,0.852487,1.0
cnn-du,DU,1100,9.414,11.246,12.26,116849.65,0.910909,0.916808,0.846395,1.0
cnn-du,DU,1200,9.405,10.122,11.539,127588.85,0.9125,0.918415,0.849138,1.0
cnn-du,DU,1300,10.543,12.003,12.797,123306.23,0.908462,0.913831,0.841333,1.0
cnn-du,DU,1400,52.561,54.412,54.834,26635.5,0.91,0.915209,0.843672,1.0
cnn-du,DU,1500,53.398,55.07,56.639,28091.15,0.912667,0.91735,0.847319,1.0
cnn-du,DU,1600,53.814,55.365,56.029,29731.78,0.911875,0.916716,0.846238,1.0
cnn-du,DU,1700,54.847,57.127,58.03,30995.59,0.912353,0.916713,0.846233,1.0
cnn-du,DU,1800,55.486,58.073,59.542,32440.73,0.913333,0.917109,0.846909,1.0
cnn-du,DU,1900,56.266,58.206,58.996,33767.88,0.914737,0.918675,0.849582,1.0
cnn-du,DU,2000,56.783,59.079,60.512,35221.79,0.9145,0.918455,0.849206,1.0
cnn-du,DU,2100,57.144,58.78,60.977,36749.11,0.913333,0.91787,0.848207,1.0
cnn-du,DU,2200,58.003,60.338,61.292,37929.3,0.911364,0.916201,0.845361,1.0
cnn-du,DU,2300,58.622,61.222,61.557,39234.22,0.911304,0.916325,0.845572,1.0
cnn-du,DU,2400,59.159,60.731,63.212,40568.83,0.910833,0.916341,0.845599,1.0
cnn-du,DU,2500,60.363,63.048,63.475,41416.41,0.9112,0.917102,0.846897,1.0
cnn-du,DU,2600,61.09,62.512,64.404,42560.22,0.912308,0.918455,0.849206,1.0
cnn-du,DU,2700,60.797,63.283,64.262,44410.34,0.911481,0.917558,0.847674,1.0
cnn-du,DU,2800,61.424,64.344,65.016,45584.96,0.908929,0.914744,0.842884,1.0
cnn-du,DU,2900,61.597,64.516,65.672,47080.4,0.908621,0.914489,0.842449,1.0
cnn-du,DU,3000,62.302,65.792,67.169,48152.42,0.909333,0.91537,0.843947,1.0
cnn-du,DU,3100,62.864,66.218,68.221,49312.71,0.909032,0.914958,0.843246,1.0
cnn-du,DU,3200,63.112,67.236,67.897,50703.28,0.90875,0.91472,0.842842,1.0
cnn-du,DU,3300,64.027,67.812,69.706,51541.11,0.908485,0.914834,0.843035,1.0
cnn-du,DU,3400,64.489,68.406,70.086,52722.05,0.907353,0.913628,0.840989,1.0
cnn-du,DU,3500,65.41,69.371,69.913,53508.67,0.908,0.914316,0.842157,1.0
cnn-du,DU,3600,64.69,68.832,69.752,55650.3,0.907778,0.914212,0.84198,1.0
cnn-du,DU,3700,65.803,70.21,71.756,56228.48,0.907297,0.913754,0.841204,1.0
cnn-du,DU,3800,65.986,71.397,73.745,57587.92,0.907895,0.914342,0.8422,1.0
cnn-du,DU,3900,66.638,70.463,71.457,58525.52,0.908974,0.915295,0.843819,1.0
cnn-du,DU,4000,67.307,71.627,72.966,59429.39,0.90825,0.914592,0.842624,1.0
cnn-du,DU,4100,67.523,72.537,73.459,60719.8,0.909024,0.9154,0.843998,1.0
cnn-du,DU,4200,68.382,72.613,73.791,61419.45,0.909762,0.916132,0.845243,1.0
