model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-du,DU,100,1.988,2.123,2.265,50307.16,0.99,0.989247,1.0,0.978723
lstm-du,DU,200,2.823,3.119,3.196,70838.14,0.99,0.990826,1.0,0.981818
lstm-du,DU,300,3.7,4.198,4.414,81083.85,0.986667,0.987805,0.993865,0.981818
lstm-du,DU,400,4.515,4.893,5.659,88594.92,0.99,0.991189,0.995575,0.986842
lstm-du,DU,500,5.438,6.459,6.898,91944.42,0.992,0.992982,0.996479,0.98951
lstm-du,DU,600,5.808,6.346,7.192,103299.19,0.991667,0.992526,0.996997,0.988095
lstm-du,DU,700,6.433,7.006,7.077,108809.81,0.992857,0.993614,0.997436,0.989822
lstm-du,DU,800,7.215,7.941,8.233,110886.28,0.9925,0.993182,0.997717,0.988688
lstm-du,DU,900,8.173,9.583,10.554,110113.08,0.993333,0.99389,0.997955,0.989858
lstm-du,DU,1000,8.742,9.542,10.761,114390.68,0.994,0.994413,0.998131,0.990724
lstm-du,DU,1100,9.809,11.322,13.246,112144.95,0.994545,0.994889,0.998291,0.991511
lstm-du,DU,1200,10.306,11.161,11.924,116441.27,0.994167,0.994544,0.996875,0.992224
lstm-du,DU,1300,53.083,55.555,57.037,24489.8,0.994615,0.994902,0.99708,0.992733
lstm-du,DU,1400,54.317,56.5,56.869,25774.77,0.995,0.995248,0.997279,0.993225
lstm-du,DU,1500,55.091,57.141,58.223,27227.51,0.994667,0.994924,0.997455,0.992405
lstm-du,DU,1600,56.177,58.954,59.13,28481.39,0.995,0.995227,0.997608,0.992857
lstm-du,DU,1700,56.567,58.619,59.544,30052.77,0.995294,0.995536,0.997763,0.993318
lstm-du,DU,1800,57.42,59.083,60.437,31347.8,0.995,0.99522,0.99787,0.992585
lstm-du,DU,1900,58.662,60.48,62.031,32388.97,0.995263,0.995507,0.997998,0.993028
lstm-du,DU,2000,59.406,61.498,63.108,33666.42,0.995,0.995215,0.997124,0.993314
lstm-du,DU,2100,59.512,61.661,63.379,35286.96,0.995238,0.995463,0.997273,0.993659
lstm-du,DU,2200,59.71,61.838,63.281,36844.74,0.995,0.995228,0.997391,0.993074
lstm-du,DU,2300,61.462,64.352,65.134,37421.57,0.994783,0.995033,0.99751,0.992568
lstm-du,DU,2400,62.285,64.352,64.808,38532.42,0.995,0.995242,0.997615,0.99288
lstm-du,DU,2500,62.421,65.798,66.503,40050.31,0.9952,0.99543,0.99771,0.993161
lstm-du,DU,2600,63.36,65.974,67.921,41035.4,0.995385,0.995591,0.997791,0.993402
lstm-du,DU,2700,63.957,67.2,68.599,42215.98,0.995556,0.995742,0.997866,0.993626
lstm-du,DU,2800,64.574,67.381,68.952,43361.25,0.995714,0.995868,0.99793,0.993814
lstm-du,DU,2900,64.871,67.998,70.99,44704.07,0.995862,0.996,0.997996,0.994012
lstm-du,DU,3000,65.745,70.042,70.764,45630.94,0.996,0.996137,0.998065,0.994216
lstm-du,DU,3100,66.487,70.193,72.057,46625.47,0.996129,0.996264,0.998129,0.994406
lstm-du,DU,3200,66.513,71.096,71.534,48111.12,0.995938,0.996069,0.998182,0.993965
lstm-du,DU,3300,67.594,71.344,72.267,48821.0,0.995758,0.995885,0.997644,0.994131
lstm-du,DU,3400,67.816,72.983,74.566,50135.93,0.995294,0.995415,0.99713,0.993707
lstm-du,DU,3500,68.063,71.651,74.739,51422.87,0.994857,0.995017,0.99612,0.993916
lstm-du,DU,3600,68.949,73.629,75.667,52212.13,0.994722,0.994888,0.995692,0.994086
lstm-du,DU,3700,69.522,74.271,74.962,53220.58,0.994324,0.994518,0.995818,0.993222
lstm-du,DU,3800,70.599,76.362,77.855,53824.98,0.994474,0.994663,0.995929,0.993401
lstm-du,DU,3900,70.815,75.624,76.379,55072.87,0.994615,0.994783,0.99602,0.993548
lstm-du,DU,4000,72.224,78.075,79.419,55383.33,0.99475,0.994914,0.99612,0.993711
lstm-du,DU,4100,72.243,77.617,80.088,56752.93,0.994878,0.995034,0.996212,0.993859
lstm-du,DU,4200,72.824,76.892,78.891,57673.69,0.995,0.995153,0.996303,0.994006
lstm-du,DU,4300,73.108,78.012,79.063,58817.17,0.995116,0.995269,0.996392,0.994149
lstm-du,DU,4400,73.723,78.686,80.277,59682.91,0.995227,0.995373,0.996471,0.994278
lstm-du,DU,4500,75.049,79.449,81.072,59960.93,0.995333,0.995461,0.996538,0.994387
lstm-du,DU,4600,75.612,81.868,83.546,60837.01,0.995435,0.995561,0.996614,0.99451
lstm-du,DU,4700,76.438,81.638,85.42,61487.48,0.995319,0.995439,0.996679,0.994203
lstm-du,DU,4800,76.543,82.817,84.89,62709.86,0.995417,0.995536,0.996749,0.994325
lstm-du,DU,4900,76.985,82.889,84.726,63649.09,0.99551,0.995623,0.996813,0.994436
lstm-du,DU,5000,77.219,83.083,83.469,64750.9,0.9954,0.995517,0.996877,0.994161
