model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-du,DU,100,1.991,2.262,3.051,50220.03,0.97,0.972477,0.946429,1.0
lstm-du,DU,200,2.741,2.997,3.498,72971.74,0.955,0.958525,0.920354,1.0
lstm-du,DU,300,3.412,3.917,4.317,87935.47,0.946667,0.949686,0.904192,1.0
lstm-du,DU,400,3.998,4.342,4.436,100054.07,0.9375,0.940618,0.891892,0.994975
lstm-du,DU,500,4.723,5.611,6.069,105861.23,0.936,0.93985,0.88968,0.996016
lstm-du,DU,600,5.269,5.89,6.32,113867.02,0.93,0.932476,0.876133,0.996564
lstm-du,DU,700,5.974,6.61,6.982,117174.18,0.932857,0.936401,0.882653,0.997118
lstm-du,DU,800,6.309,6.999,7.792,126812.37,0.935,0.938534,0.886161,0.997487
lstm-du,DU,900,7.216,8.207,8.841,124729.3,0.932222,0.935722,0.880952,0.997753
lstm-du,DU,1000,8.004,9.346,10.207,124943.01,0.934,0.937618,0.884135,0.997988
lstm-du,DU,1100,8.748,9.739,9.986,125747.29,0.930909,0.934142,0.87785,0.998148
lstm-du,DU,1200,9.442,10.514,11.836,127089.8,0.931667,0.935024,0.879285,0.998308
lstm-du,DU,1300,9.431,10.045,11.108,137842.01,0.929231,0.931852,0.874826,0.99683
lstm-du,DU,1400,52.116,53.804,54.631,26862.92,0.93,0.9326,0.875969,0.997059
lstm-du,DU,1500,53.5,55.247,56.704,28037.29,0.932667,0.934881,0.879854,0.997249
lstm-du,DU,1600,53.717,55.5,55.753,29785.64,0.9325,0.934783,0.879545,0.997423
lstm-du,DU,1700,54.428,56.842,58.102,31234.01,0.931765,0.93379,0.877682,0.997561
lstm-du,DU,1800,55.107,57.034,57.445,32663.95,0.931667,0.933261,0.877551,0.996524
lstm-du,DU,1900,55.749,57.553,58.274,34081.05,0.932632,0.934359,0.880193,0.995628
lstm-du,DU,2000,55.87,58.411,58.997,35797.58,0.932,0.933788,0.87901,0.995846
lstm-du,DU,2100,56.785,59.202,60.84,36981.51,0.931429,0.933641,0.878578,0.996067
lstm-du,DU,2200,57.696,59.731,61.085,38130.68,0.93,0.932397,0.876238,0.996248
lstm-du,DU,2300,58.455,60.616,61.195,39346.23,0.92913,0.931771,0.875,0.996419
lstm-du,DU,2400,59.506,62.022,62.833,40331.99,0.929583,0.932535,0.876219,0.996587
