model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-du,DU,100,3.2,4.113,14.129,31247.68,0.99,0.989247,1.0,0.978723
transformer-du,DU,200,5.414,6.157,35.217,36943.0,0.995,0.995434,1.0,0.990909
transformer-du,DU,300,6.363,23.875,31.795,47145.19,0.993333,0.993902,1.0,0.987879
transformer-du,DU,400,7.666,25.027,30.078,52176.75,0.995,0.995595,1.0,0.991228
transformer-du,DU,500,8.125,18.412,29.428,61540.36,0.996,0.996491,1.0,0.993007
transformer-du,DU,600,10.125,30.826,36.834,59261.1,0.995,0.995516,1.0,0.991071
transformer-du,DU,700,10.939,26.988,38.679,63991.52,0.995714,0.996169,1.0,0.992366
transformer-du,DU,800,11.946,31.811,33.713,66966.61,0.995,0.995455,1.0,0.99095
transformer-du,DU,900,14.908,40.912,57.575,60371.21,0.995556,0.995927,1.0,0.991886
transformer-du,DU,1000,16.367,45.201,46.109,61097.73,0.996,0.996276,1.0,0.992579
transformer-du,DU,1100,53.913,55.978,57.138,20403.37,0.996364,0.996593,1.0,0.993209
transformer-du,DU,1200,54.565,56.331,57.366,21992.0,0.996667,0.99688,1.0,0.993779
transformer-du,DU,1300,55.309,57.577,58.481,23504.37,0.996923,0.997085,1.0,0.994186
transformer-du,DU,1400,56.165,58.445,60.272,24926.43,0.997143,0.997283,1.0,0.99458
transformer-du,DU,1500,57.048,58.771,61.022,26293.64,0.996667,0.996825,1.0,0.993671
transformer-du,DU,1600,58.366,60.478,61.769,27413.17,0.996875,0.997015,1.0,0.994048
transformer-du,DU,1700,58.385,61.643,62.377,29116.85,0.997059,0.997208,1.0,0.994432
transformer-du,DU,1800,60.026,62.235,63.949,29987.19,0.997222,0.997345,1.0,0.994703
transformer-du,DU,1900,60.712,62.598,64.735,31295.28,0.997368,0.997504,1.0,0.99502
transformer-du,DU,2000,61.288,63.152,64.53,32632.62,0.9975,0.997607,1.0,0.995224
transformer-du,DU,2100,62.264,65.424,66.35,33727.34,0.997619,0.99773,1.0,0.995471
transformer-du,DU,2200,62.866,65.611,66.706,34994.89,0.997727,0.997831,1.0,0.995671
transformer-du,DU,2300,63.964,65.894,68.2,35957.89,0.997391,0.997517,1.0,0.995045
transformer-du,DU,2400,64.738,68.037,69.334,37072.46,0.9975,0.997621,1.0,0.995253
transformer-du,DU,2500,65.126,68.936,70.308,38387.12,0.9976,0.997715,1.0,0.995441
transformer-du,DU,2600,66.391,68.812,70.108,39162.2,0.997692,0.997796,1.0,0.995601
transformer-du,DU,2700,66.076,69.9,71.168,40861.93,0.997407,0.997517,0.999289,0.995751
transformer-du,DU,2800,67.159,70.728,72.356,41692.1,0.9975,0.99759,0.99931,0.995876
transformer-du,DU,2900,67.486,72.001,72.828,42971.85,0.997586,0.997667,0.999332,0.996008
transformer-du,DU,3000,69.111,72.936,85.209,43408.62,0.997333,0.997426,0.998711,0.996144
transformer-du,DU,3100,70.735,84.566,90.566,43825.73,0.997419,0.997511,0.998754,0.996271
transformer-du,DU,3200,72.079,89.714,93.691,44395.97,0.997188,0.99728,0.998789,0.995775
transformer-du,DU,3300,71.684,84.816,89.804,46035.49,0.997273,0.997355,0.998823,0.995892
transformer-du,DU,3400,73.669,87.292,96.67,46152.4,0.997059,0.997135,0.998852,0.995423
transformer-du,DU,3500,73.973,81.645,96.323,47314.82,0.996857,0.996954,0.998336,0.995575
transformer-du,DU,3600,74.549,92.429,100.005,48290.71,0.996944,0.997039,0.998383,0.995699
