model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-du,DU,100,3.164,3.752,26.098,31601.4,0.97,0.972477,0.946429,1.0
transformer-du,DU,200,5.781,34.739,41.447,34593.21,0.97,0.971963,0.945455,1.0
transformer-du,DU,300,6.82,34.996,41.435,43987.48,0.963333,0.964856,0.932099,1.0
transformer-du,DU,400,7.608,29.686,38.377,52574.78,0.96,0.961353,0.925581,1.0
transformer-du,DU,500,8.417,28.037,37.195,59407.03,0.958,0.959847,0.922794,1.0
transformer-du,DU,600,9.991,37.329,42.039,60052.97,0.953333,0.954098,0.912226,1.0
transformer-du,DU,700,11.816,41.02,46.883,59240.78,0.955714,0.957241,0.917989,1.0
transformer-du,DU,800,12.113,39.801,42.309,66044.53,0.95875,0.960193,0.923434,1.0
transformer-du,DU,900,14.8,48.194,54.55,60808.79,0.957778,0.959052,0.921325,1.0
transformer-du,DU,1000,15.7,49.531,51.802,63694.03,0.96,0.961315,0.925512,1.0
transformer-du,DU,1100,51.985,53.776,54.425,21159.94,0.956364,0.957447,0.918367,1.0
transformer-du,DU,1200,52.964,54.515,55.558,22656.81,0.955833,0.957085,0.917702,1.0
transformer-du,DU,1300,54.04,56.126,57.286,24056.41,0.954615,0.955337,0.914493,1.0
transformer-du,DU,1400,54.522,56.701,56.993,25677.66,0.955,0.955727,0.915209,1.0
transformer-du,DU,1500,55.408,57.807,59.687,27071.81,0.957333,0.957839,0.91909,1.0
transformer-du,DU,1600,55.922,58.261,59.728,28611.08,0.958125,0.958616,0.920522,1.0
transformer-du,DU,1700,56.654,59.396,60.643,30006.92,0.958824,0.959064,0.921348,1.0
transformer-du,DU,1800,57.334,59.131,59.376,31394.84,0.958333,0.95831,0.92094,0.998841
transformer-du,DU,1900,58.282,60.986,62.801,32600.39,0.958947,0.958991,0.924012,0.996721
transformer-du,DU,2000,58.663,61.18,62.129,34093.19,0.9595,0.95952,0.924855,0.996885
transformer-du,DU,2100,59.629,61.629,62.35,35217.57,0.958571,0.958865,0.923497,0.99705
transformer-du,DU,2200,60.458,62.609,64.541,36389.13,0.958182,0.958521,0.922743,0.997186
transformer-du,DU,2300,61.074,63.928,66.829,37659.33,0.957826,0.95828,0.922185,0.997314
transformer-du,DU,2400,61.373,64.097,65.04,39105.34,0.956667,0.957412,0.920472,0.99744
transformer-du,DU,2500,62.839,64.508,67.401,39784.0,0.9564,0.957405,0.920361,0.997557
transformer-du,DU,2600,64.185,66.514,68.111,40507.86,0.956538,0.957725,0.921526,0.996885
transformer-du,DU,2700,63.005,66.552,70.214,42853.77,0.955185,0.956365,0.918919,0.996992
transformer-du,DU,2800,65.136,67.458,80.179,42986.98,0.953571,0.954514,0.915436,0.997076
transformer-du,DU,2900,65.616,68.54,80.846,44196.22,0.952759,0.953763,0.913972,0.997177
transformer-du,DU,3000,66.069,71.519,94.225,45407.31,0.953,0.954146,0.914589,0.997281
transformer-du,DU,3100,65.701,70.104,72.144,47183.21,0.952581,0.953672,0.913647,0.997363
transformer-du,DU,3200,67.948,83.599,94.545,47094.82,0.952187,0.953311,0.912916,0.997446
transformer-du,DU,3300,68.366,83.907,91.236,48269.53,0.951515,0.952858,0.912528,0.996917
transformer-du,DU,3400,70.819,89.454,92.845,48009.7,0.950882,0.952135,0.911135,0.996999
transformer-du,DU,3500,72.042,91.613,98.515,48583.06,0.951429,0.952725,0.912141,0.99709
transformer-du,DU,3600,70.915,87.071,90.145,50765.03,0.950556,0.95197,0.910687,0.997174
transformer-du,DU,3700,72.877,92.002,97.623,50770.69,0.950541,0.951931,0.910553,0.997248
transformer-du,DU,3800,72.581,84.714,105.938,52355.21,0.950526,0.951967,0.910557,0.997323
transformer-du,DU,3900,73.285,90.92,97.914,53217.09,0.951026,0.952452,0.911386,0.997393
transformer-du,DU,4000,75.703,96.888,99.533,52837.77,0.95075,0.952126,0.911163,0.996947
transformer-du,DU,4100,75.462,97.077,114.139,54331.74,0.950732,0.952201,0.911232,0.997027
transformer-du,DU,4200,76.379,96.929,97.911,54989.16,0.950714,0.952249,0.911258,0.997101
transformer-du,DU,4300,76.104,96.028,106.226,56501.7,0.951395,0.952896,0.912387,0.99717
transformer-du,DU,4400,77.379,96.579,114.275,56862.93,0.951136,0.952841,0.912989,0.99633
transformer-du,DU,4500,79.955,97.922,134.227,56281.83,0.95,0.951748,0.91092,0.996408
transformer-du,DU,4600,80.075,98.25,100.251,57445.86,0.950217,0.951901,0.911138,0.996482
transformer-du,DU,4700,81.151,97.691,126.871,57916.42,0.950638,0.9524,0.912343,0.996137
transformer-du,DU,4800,81.673,98.141,128.874,58770.82,0.95125,0.952955,0.913295,0.996217
