model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-du,DU,100,3.131,2.836,28.488,31937.19,0.97,0.972477,0.946429,1.0
transformer-du,DU,200,5.115,5.779,37.063,39100.38,0.97,0.971963,0.945455,1.0
transformer-du,DU,300,6.693,32.894,37.427,44824.45,0.963333,0.964856,0.932099,1.0
transformer-du,DU,400,7.664,32.211,37.25,52195.01,0.96,0.961353,0.925581,1.0
transformer-du,DU,500,8.205,26.705,38.418,60940.74,0.958,0.959847,0.922794,1.0
transformer-du,DU,600,10.259,36.616,42.521,58485.26,0.953333,0.954098,0.912226,1.0
transformer-du,DU,700,11.747,40.234,46.894,59587.38,0.955714,0.957241,0.917989,1.0
transformer-du,DU,800,12.636,41.026,48.94,63313.16,0.95875,0.960193,0.923434,1.0
transformer-du,DU,900,14.265,50.022,53.111,63091.38,0.957778,0.959052,0.921325,1.0
transformer-du,DU,1000,16.346,51.782,61.039,61176.41,0.96,0.961315,0.925512,1.0
transformer-du,DU,1100,52.087,53.907,54.565,21118.61,0.956364,0.957447,0.918367,1.0
transformer-du,DU,1200,52.908,54.412,55.145,22680.75,0.955833,0.957085,0.917702,1.0
transformer-du,DU,1300,53.861,55.61,56.304,24136.29,0.954615,0.955337,0.914493,1.0
transformer-du,DU,1400,54.684,56.577,57.707,25601.72,0.955,0.955727,0.915209,1.0
transformer-du,DU,1500,55.367,57.449,58.739,27092.11,0.957333,0.957839,0.91909,1.0
transformer-du,DU,1600,56.29,58.234,59.654,28424.2,0.958125,0.958616,0.920522,1.0
transformer-du,DU,1700,56.83,58.702,59.414,29913.75,0.958824,0.959064,0.921348,1.0
transformer-du,DU,1800,57.788,59.819,60.718,31148.22,0.958333,0.95831,0.92094,0.998841
transformer-du,DU,1900,58.033,60.56,62.111,32739.91,0.958947,0.958991,0.924012,0.996721
transformer-du,DU,2000,58.9,60.853,62.005,33955.94,0.9595,0.95952,0.924855,0.996885
transformer-du,DU,2100,59.732,61.439,64.578,35156.89,0.958571,0.958865,0.923497,0.99705
transformer-du,DU,2200,60.713,63.285,64.11,36235.83,0.958182,0.958521,0.922743,0.997186
transformer-du,DU,2300,61.1,63.635,64.471,37643.16,0.957826,0.95828,0.922185,0.997314
transformer-du,DU,2400,62.443,64.327,64.849,38434.94,0.956667,0.957412,0.920472,0.99744
transformer-du,DU,2500,62.048,65.385,68.584,40291.37,0.9564,0.957405,0.920361,0.997557
transformer-du,DU,2600,63.926,65.78,67.044,40671.88,0.956538,0.957725,0.921526,0.996885
transformer-du,DU,2700,64.093,66.339,80.615,42126.34,0.955185,0.956365,0.918919,0.996992
transformer-du,DU,2800,64.473,67.332,69.002,43429.35,0.953571,0.954514,0.915436,0.997076
transformer-du,DU,2900,64.166,68.264,70.37,45195.01,0.952759,0.953763,0.913972,0.997177
transformer-du,DU,3000,65.527,69.937,71.446,45782.48,0.953,0.954146,0.914589,0.997281
transformer-du,DU,3100,65.853,69.828,72.356,47074.55,0.952581,0.953672,0.913647,0.997363
transformer-du,DU,3200,68.464,81.127,96.687,46739.8,0.952187,0.953311,0.912916,0.997446
transformer-du,DU,3300,69.492,88.254,99.076,47487.42,0.951515,0.952858,0.912528,0.996917
transformer-du,DU,3400,70.531,86.727,94.407,48205.55,0.950882,0.952135,0.911135,0.996999
transformer-du,DU,3500,70.951,89.554,94.472,49330.06,0.951429,0.952725,0.912141,0.99709
transformer-du,DU,3600,70.072,83.293,91.05,51376.07,0.950556,0.95197,0.910687,0.997174
transformer-du,DU,3700,71.453,85.948,90.316,51782.5,0.950541,0.951931,0.910553,0.997248
transformer-du,DU,3800,72.787,86.727,96.123,52207.31,0.950526,0.951967,0.910557,0.997323
transformer-du,DU,3900,73.009,85.807,98.725,53418.01,0.951026,0.952452,0.911386,0.997393
transformer-du,DU,4000,75.189,97.086,102.338,53199.4,0.95075,0.952126,0.911163,0.996947
transformer-du,DU,4100,75.214,97.13,98.499,54511.06,0.950732,0.952201,0.911232,0.997027
transformer-du,DU,4200,76.735,98.456,100.735,54733.61,0.950714,0.952249,0.911258,0.997101
transformer-du,DU,4300,77.9,97.989,132.618,55198.88,0.951395,0.952896,0.912387,0.99717
transformer-du,DU,4400,78.425,97.57,136.06,56104.49,0.951136,0.952841,0.912989,0.99633
transformer-du,DU,4500,79.096,97.118,108.162,56892.79,0.95,0.951748,0.91092,0.996408
transformer-du,DU,4600,80.974,98.05,98.838,56808.06,0.950217,0.951901,0.911138,0.996482
transformer-du,DU,4700,80.163,98.785,100.071,58630.21,0.950638,0.9524,0.912343,0.996137
transformer-du,DU,4800,86.08,124.054,141.083,55761.95,0.95125,0.952955,0.913295,0.996217
transformer-du,DU,4900,82.926,99.038,124.273,59089.11,0.951633,0.953282,0.913832,0.996292
transformer-du,DU,5000,83.485,98.367,130.98,59891.3,0.9518,0.953609,0.91436,0.99638
